Accession;suppdata_id;type;pi0;type_filtered;pi0_filtered
GSE65406;GSE65406_gld1_vs_tumorfast_DESeq.csv.gz;conservative;0.92;other;1.00

GSE65406;GSE65406_gld1_vs_tumorfed_DESeq.csv.gz;conservative;0.87;other;1.00

GSE65406;GSE65406_tumorfed_vs_tumorfast_DESeq.csv.gz;conservative;0.90;other;1.00

GSE65406;GSE65406_youngadults_vs_gld1_DESeq.csv.gz;conservative;0.84;anti-conservative;1.00

GSE65408;GSE65408_processed_data_file.csv.gz;conservative;1.00;NA; NA

GSE65487;GSE65487_deseq.rminus_rplus.ensembl.csv.gz;anti-conservative;0.67;anti-conservative;0.32

GSE65487;GSE65487_deseq.rplus_gplus.ensembl.csv.gz;anti-conservative;0.50;anti-conservative;0.19

GSE65542;GSE65542_pnky_kd.diff.gz;bimodal;0.98;NA; NA

GSE65542;GSE65542_ptbp1_kd.diff.gz;bimodal;0.93;NA; NA

GSE65697;GSE65697_RNA-seq.csv.gz;bimodal;0.78;NA; NA

GSE65935;GSE65935_DKOrvsDKOnr_diffexp.txt.gz;anti-conservative;0.53;NA; NA

GSE65935;GSE65935_WTvsDKOnr_diffexp.txt.gz;anti-conservative;0.49;NA; NA

GSE65935;GSE65935_WTvsDKOr_diffexp.txt.gz;anti-conservative;0.47;NA; NA

GSE65973;GSE65973_NLS_deseq2_all_alluniq_vs_mmu9htdp43nls.txt.gz;anti-conservative;0.37;anti-conservative;0.31

GSE65987;GSE65987_FPKM_for_MEFs.txt.gz;conservative;1.00;NA; NA

GSE66148;GSE66148_NC_v_CNS.txt.gz-set-0;anti-conservative;0.55;NA;0.27

GSE66148;GSE66148_NC_v_CNS.txt.gz-set-1;anti-conservative;0.52;NA;0.24

GSE66148;GSE66148_NC_v_CNS.txt.gz-set-2;anti-conservative;0.54;NA;0.28

GSE66155;GSE66155_regulation.txt.gz;conservative;1.00;NA; NA

GSE66158;GSE66158_all_genes_FPKM.txt.gz;bimodal;0.97;NA; NA

GSE66232;GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep1.txt.gz;conservative;1.00;NA; NA

GSE66232;GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep2.txt.gz;conservative;1.00;NA; NA

GSE66445;GSE66445_M._a.-pES1-MATmcr3_methane_vs._M.a.-pES1-MATmcr3_methanol_GEO_Processed_data.xlsx-sheet-Sheet1;conservative;1.00;NA; NA

GSE66478;GSE66478_gene_exp.txt.gz;bimodal;0.78;NA; NA

GSE66478;GSE66478_isoform_exp.txt.gz;conservative;1.00;NA; NA

GSE66506;GSE66506_DE_analysis_010714.xlsx-sheet-All_Genes;bimodal;0.93;NA; NA

GSE66547;GSE66547_20150828-oocyteMut_vs_oocyteWt-deResults.xlsx-sheet-Genes;conservative;1.00;NA; NA

GSE66575;GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.gene_exp;conservative;1.00;NA; NA

GSE66575;GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.isoform_e;conservative;1.00;NA; NA

GSE66619;GSE66619_Dorsal_Cord_Ipsi_vs_Con_mrna_gene_exp.diff.txt.gz;bimodal;0.91;NA; NA

GSE66619;GSE66619_DRG_Con_vs_Ips_mrna_gene_exp.diff.txt.gz;bimodal;0.95;NA; NA

GSE66652;GSE66652_AS13-C_differential_expression.txt.gz;bimodal;0.92;NA; NA

GSE66652;GSE66652_S4-C_differential_expression.txt.gz;bimodal;0.91;NA; NA

GSE66716;GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx;conservative;1.00;NA; NA

GSE66767;GSE66767_CD34_cord_blood.EET.txt.gz;spiky;1.00;NA; NA

GSE66767;GSE66767_U937.EET.txt.gz;spiky;1.00;NA; NA

GSE66793;GSE66793_cmp1-3-geo-gene.tsv.gz;anti-conservative;0.86;NA; NA

GSE66822;GSE66822_PRMT5-vs-WT_SC-mrna_counts.txt.gz;anti-conservative;0.83;anti-conservative;0.74

GSE67001;GSE67001_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE67029;GSE67029_cuffdiff_mh_h8.txt.gz;bimodal;0.93;NA; NA

GSE67063;GSE67063_gene_exp.diff.gz;bimodal;0.89;NA; NA

GSE67334;GSE67334_TFH.Vs.TH1.DESeq_Analysis_DE_Genes.txt.gz;anti-conservative;0.79;anti-conservative;0.56

GSE67335;GSE67335_LEF1_Th1.Vs.pMIG_Th1.DESeq_Analysis_DE_Genes.txt.gz;other;1.00;other;1.00

GSE67437;GSE67437_KO-ILC2-mLN_021815_vs_WT-ILC2-mLN_021815.txt.gz;conservative;1.00;NA; NA

GSE67554;GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz;bimodal;0.87;NA; NA

GSE67554;GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz;bimodal;0.88;NA; NA

GSE67646;GSE67646_DESeq_1.10.1.txt.gz;anti-conservative;0.67;anti-conservative;0.25

GSE67654;GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1-set-0;other;0.62;NA; NA

GSE67654;GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1-set-1;other;0.61;NA; NA

GSE67674;GSE67674_RNA-seq_analysis_AADMSOvsAAGSK-J4.txt.gz;bimodal;0.97;NA; NA

GSE67674;GSE67674_RNA-seq_analysis_PBSDMSOvsPBSGSK-J4.txt.gz;anti-conservative;0.95;NA; NA

GSE67756;GSE67756_LA2A-vs-LC2A.compare.txt.gz;anti-conservative;0.42;NA; NA

GSE67756;GSE67756_LB2A-vs-LA2A.compare.txt.gz;anti-conservative;0.44;NA; NA

GSE67756;GSE67756_LB2A-vs-LC2A.compare.txt.gz;anti-conservative;0.53;NA; NA

GSE67756;GSE67756_LB2A-vs-LF1A.compare.txt.gz;anti-conservative;0.49;NA; NA

GSE67787;GSE67787_con_bps_wex_RNAseq_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_sp-DCs.csv.gz;anti-conservative;0.29;anti-conservative;0.13

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_t-DCs.csv.gz;anti-conservative;0.27;anti-conservative;0.11

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_mTECs.csv.gz;anti-conservative;0.29;anti-conservative;0.13

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_t-DCs.csv.gz;anti-conservative;0.52;anti-conservative;0.22

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_mTECs.csv.gz;anti-conservative;0.27;anti-conservative;0.11

GSE67834;GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_sp-DCs.csv.gz;anti-conservative;0.52;anti-conservative;0.22

GSE67954;GSE67954_CSR1_RNAi_DESeq_output.txt.gz;bimodal;0.75;other;1.00

GSE67954;GSE67954_P_granule_RNAi_DESeq_output.txt.gz;conservative;0.83;other;1.00

GSE68102;GSE68102_gene_exp.diff.gz;conservative;0.96;NA; NA

GSE68160;GSE68160_GRdim-RNASeq.xlsx;bimodal;0.89;NA; NA

GSE68176;GSE68176_Camfl1.gene_exp.diff.gz;spiky;0.97;NA; NA

GSE68176;GSE68176_Ophio1_1.gene_exp.diff.gz;anti-conservative;0.56;NA; NA

GSE68229;GSE68229_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE68229;GSE68229_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE68360;GSE68360_cds_exp.diff.gz;bimodal;1.00;NA; NA

GSE68360;GSE68360_cds.diff.gz;bimodal;0.83;NA; NA

GSE68360;GSE68360_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE68360;GSE68360_isoform_exp.diff.gz;bimodal;1.00;NA; NA

GSE68360;GSE68360_promoters.diff.gz;bimodal;0.79;NA; NA

GSE68360;GSE68360_splicing.diff.gz;bimodal;0.77;NA; NA

GSE68460;GSE68460_gene_exp.xls.gz-sheet-Sheet1;conservative;1.00;NA; NA

GSE68460;GSE68460_WSVSBS_gene_diff.xls.gz-sheet-Sheet1;conservative;1.00;NA; NA

GSE68470;GSE68470_xue_etal_edgeR.txt.gz;bimodal;0.89;NA; NA

GSE68736;GSE68736_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE68806;GSE68806_Galaxy_data_Cuffdiff.txt.gz;conservative;1.00;NA; NA

GSE68813;GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep1 CuffDiff Mock vs AGO2-KD;conservative;1.00;NA; NA

GSE68813;GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep2 CuffDiff Mock vs AGO2-KD;conservative;1.00;NA; NA

GSE68998;GSE68998_DiffExpDeseq2_mdx2_NOut_3.6.14.csv.gz;anti-conservative;0.59;anti-conservative;0.47

GSE69001;GSE69001_DE_list_planktonic_v_biolfim.txt.gz;anti-conservative;0.44;NA; NA

GSE69001;GSE69001_DE_list_planktonic_v_plate.txt.gz;anti-conservative;0.33;NA; NA

GSE69001;GSE69001_DE_list_plate_v_biofilm.txt.gz;anti-conservative;0.38;NA; NA

GSE69110;GSE69110_d2GFP_vs_d2Sox9OE.deseq.res.csv.gz;anti-conservative;0.58;anti-conservative;0.28

GSE69113;GSE69113_AIPVUIP_differential_expression.txt.gz;other;0.91;NA; NA

GSE69113;GSE69113_BIPVUIP_differential_expression.txt.gz;other;0.86;NA; NA

GSE69125;GSE69125_10408_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE69175;GSE69175_gene_exp.txt.gz;conservative;0.99;NA; NA

GSE69205;GSE69205_gene_exp.txt.gz;conservative;0.99;NA; NA

GSE69311;GSE69311_deseq_diff_genes.csv.gz;bimodal;0.98;anti-conservative;0.79

GSE69556;GSE69556_cds_exp.diff.gz;bimodal;0.97;NA; NA

GSE69721;GSE69721_UP-_and_Down-regulated_genes.txt.gz;bimodal;0.98;NA; NA

GSE69855;GSE69855_gene_exp_ResvResVag.txt.gz;conservative;0.99;NA; NA

GSE69855;GSE69855_gene_exp_ResvSham.txt.gz;conservative;1.00;NA; NA

GSE69900;GSE69900_control-CBD16H.txt.gz;bimodal;0.79;NA; NA

GSE69900;GSE69900_control-tamoxifen48H.txt.gz;bimodal;0.85;NA; NA

GSE70068;GSE70068_GM_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE70068;GSE70068_TNF_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE70068;GSE70068_UT_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE70108;GSE70108_G263_CuffDiff_WTvsDDX5Tko.tabular.txt.gz;conservative;1.00;NA; NA

GSE70108;GSE70108_G340_CuffDiff_WTvsRORgko.tabular.txt.gz;conservative;1.00;NA; NA

GSE70141;GSE70141_Ax2_0H_1_2_Ax2_10H_1_2_DESeq.results.genenames.txt.gz;anti-conservative;0.22;anti-conservative;0.06

GSE70141;GSE70141_Ax2_0H_1+2_ChdC_0H_1+2_DESeq.results.genenames.txt.gz;anti-conservative;0.61;anti-conservative;0.38

GSE70141;GSE70141_Ax2_10H_1_2_ChdC_12H_1_2_DESeq.results.genenames.txt.gz;anti-conservative;0.30;anti-conservative;0.15

GSE70283;GSE70283_cuffdiff_gene_exp.diff.gz;bimodal;0.96;NA; NA

GSE70314;GSE70314_Gal474_cuffdiff_sictrl.1_siAtad2.1_gene_differential_expression_testing.txt.gz;bimodal;0.92;NA; NA

GSE70314;GSE70314_Gal476_cuffdiff_sictrl.1_siAtad2.1_transcript_differential_expression_testing.txt.gz;bimodal;0.92;NA; NA

GSE70314;GSE70314_Gal485_cuffdiff_sictrl.2_siAtad2.2_gene_differential_expression_testing.txt.gz;bimodal;0.95;NA; NA

GSE70314;GSE70314_Gal487_cuffdiff_sictrl.2_siAtad2.2_transcript_differential_expression_testing.txt.gz;bimodal;0.95;NA; NA

GSE70382;GSE70382_DESeq_allresp_vs_nonresp.xlsx-sheet-Blad1;conservative;0.96;uniform;1.00

GSE70488;GSE70488_Day_vs_Night_sSeq.txt.gz;anti-conservative;0.35;NA; NA

GSE70544;GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz;conservative;0.97;NA; NA

GSE70544;GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz;conservative;0.96;NA; NA

GSE70544;GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz;conservative;0.96;NA; NA

GSE70544;GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz;conservative;0.95;NA; NA

GSE70584;GSE70584_Liberman2015_sorted_CUFFLINKS_gene_exp.txt.gz;bimodal;0.80;NA; NA

GSE70584;GSE70584_Liberman2015_Wholeroot_CUFFLINKS_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE70668;GSE70668_DD_gene_exp.diff.csv.gz;conservative;1.00;NA; NA

GSE70699;GSE70699_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE70711;GSE70711_IRF4hi.vs.IRF8hi.gene_exp.diff.gz;conservative;0.97;NA; NA

GSE70711;GSE70711_IRF8cKO_GCBCell_RPKM_exp_1.csv.gz;conservative;1.00;NA; NA

GSE70711;GSE70711_IRF8cKO_GCBCell_RPKM_exp_2.csv.gz;conservative;1.00;NA; NA

GSE70728;GSE70728_KDM2B_RNAseq_DEG.diff.gz;conservative;1.00;NA; NA

GSE70766;GSE70766_Differential_expression.txt.gz;bimodal;0.90;NA; NA

GSE70785;GSE70785_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE70806;GSE70806_rf6a_matrix.txt.gz;conservative;0.96;NA; NA

GSE70815;GSE70815_gene_exp.diff.gz;bimodal;0.95;NA; NA

GSE70833;GSE70833_Rennoll_et_al_processed_data.xlsx-sheet-Cuffdiff;conservative;1.00;NA; NA

GSE70860;GSE70860_DEaxons.csv.gz;spiky;0.96;anti-conservative;0.21

GSE70860;GSE70860_DEsoma.csv.gz;other;1.00;other;1.00

GSE70876;GSE70876_Additional_file_4.xls.gz;anti-conservative;0.32;NA; NA

GSE71133;GSE71133_Supplementary_Table_2.xlsx-sheet-FC < 0;uniform;1.00;other;1.00

GSE71133;GSE71133_Supplementary_Table_2.xlsx-sheet-FC > 0;uniform;1.00;other;1.00

GSE71153;GSE71153_projectLindholmPerry_USDA0001AL_master_list.txt.gz;spiky;0.64;NA; NA

GSE71159;GSE71159_E3KO_vs_EfCtrl_gene_exp.diff.txt.gz;conservative;0.99;NA; NA

GSE71159;GSE71159_ECtrl_vs_E3KO_gene_exp.diff.txt.gz;conservative;0.99;NA; NA

GSE71159;GSE71159_ECtrl_vs_EfCtrl_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE71164;GSE71164_SCR-static_vs_SCR-FSS.tabular.txt.gz;bimodal;0.91;NA; NA

GSE71164;GSE71164_SCR-static_vs_SH-EZH2-static.tabular.txt.gz;conservative;0.92;NA; NA

GSE71185;GSE71185_CHD8_CRISPR_RNASeq_Cuffdiff_PolyA.txt.gz;anti-conservative;0.38;NA; NA

GSE71185;GSE71185_CHD8_Knockdown_RNASeq_Cuffdiff_PolyA.txt.gz;anti-conservative;0.47;NA; NA

GSE71185;GSE71185_NSD3_Knockdown_RNASeq_Cuffdiff_NSR.txt.gz;anti-conservative;0.90;NA; NA

GSE71185;GSE71185_NSD3_Knockdown_RNASeq_Cuffdiff_PolyA.txt.gz;anti-conservative;0.77;NA; NA

GSE71252;GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-geneExpDiffData;bimodal;0.98;NA; NA

GSE71252;GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-isoformExpDiffData;bimodal;0.98;NA; NA

GSE71281;GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz;conservative;0.99;NA; NA

GSE71284;GSE71284_control_WT2_WT3_C1_C2_vs_truncation_3kb1_3kb2_100kb1_100kb2_CUFFDIFF_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE71295;GSE71295_gene_exp.diff.gz;conservative;0.98;NA; NA

GSE71369;GSE71369_Processed_data_GRO_seq.xlsx-sheet-untethered_vs_tethered_RPM;bimodal;1.00;NA; NA

GSE71527;GSE71527_KO_naive_vs_KO_SNI_Sal.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_KO_SNI_Sal_vs_KO_SNI_DMI.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_WT_naive_vs_KO_naive.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_WT_naive_vs_WT_SNI_Sal.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_WT_SNI_DMI_vs_KO_SNI_DMI.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_WT_SNI_Sal_vs_KO_SNI_Sal.xlsx;conservative;1.00;NA; NA

GSE71527;GSE71527_WT_SNI_Sal_vs_WT_SNI_DMI.xlsx;conservative;1.00;NA; NA

GSE71539;GSE71539_TP0vsTP23_gene_results.txt.gz;anti-conservative;0.86;NA; NA

GSE71539;GSE71539_TP0vsTP23_tag_results.txt.gz;anti-conservative;0.85;NA; NA

GSE71609;GSE71609_2015_MZT.txt.gz-set-0;bimodal;0.84;NA; NA

GSE71609;GSE71609_2015_MZT.txt.gz-set-1;conservative;0.96;NA; NA

GSE71609;GSE71609_2015_MZT.txt.gz-set-2;conservative;0.98;NA; NA

GSE71609;GSE71609_2015_MZT.txt.gz-set-3;bimodal;0.85;NA; NA

GSE71609;GSE71609_2015_MZT.txt.gz-set-4;bimodal;0.89;NA; NA

GSE71710;GSE71710_siDGCR8_v_siSCR_DESeq_gencode.all.symbol.txt.gz;anti-conservative;0.84;anti-conservative;0.79

GSE71862;GSE71862_DeSeq2_MCF7_vs_MCF10A_foldchange.txt.gz;anti-conservative;0.46;anti-conservative;0.45

GSE71902;GSE71902_WILD-vs-CPH2.txt.gz;anti-conservative;0.83;NA; NA

GSE71916;GSE71916_Expression_Cufflinks_siRbfox1_3+EGFP_compared_to_siNT+EGFP.txt.gz;anti-conservative;0.96;NA; NA

GSE71916;GSE71916_Expression_Cufflinks_siRbfox1_3+Flag-Rbfox1_C_compared_to_siRbfox1_3+EGFP.txt.gz;other;1.00;NA; NA

GSE71916;GSE71916_Expression_Cufflinks_siRbfox1_3+Flag-Rbfox1_N_compared_to_siRbfox1_3+EGFP.txt.gz;other;1.00;NA; NA

GSE71943;GSE71943_KO_vs_WT_diffGenes.txt.gz;bimodal;0.83;NA; NA

GSE71948;GSE71948_RNASeqProcessedDESeqData.txt.gz;conservative;1.00;other;1.00

GSE71988;GSE71988_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE72059;GSE72059_21_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE72105;GSE72105_Differential_Gene_Expression_Summary_D0.txt.gz;bimodal;1.00;NA; NA

GSE72105;GSE72105_Differential_Gene_Expression_Summary_D6.txt.gz;bimodal;0.92;NA; NA

GSE72105;GSE72105_Differential_Gene_Expression_Summary_myotubes.txt.gz;conservative;0.92;NA; NA

GSE72105;GSE72105_Differential_Gene_Expression_Summary_usp10.txt.gz;conservative;1.00;NA; NA

GSE72172;GSE72172_S2_vs_SIN3_187.txt.gz;bimodal;0.89;NA; NA

GSE72178;GSE72178_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE72321;GSE72321_annotated_diffana_6-OHDA-6-OHDA_En.xlsx;conservative;0.94;other;1.00

GSE72321;GSE72321_annotated_diffana_gain-of-function_En1-ipsi-contra.xlsx;conservative;1.00;spiky;0.98

GSE72321;GSE72321_annotated_diffana_loss-of-function_En1LacZ-WT.xlsx;conservative;1.00;spiky;1.00

GSE72341;GSE72341_DEseq_results.xlsx;bimodal;0.94;spiky;0.69

GSE72390;GSE72390_DiffExpr_Location_7-12_vs_1-6_Oncorhynchus_keta_de_novo.xlsx;anti-conservative;0.90;anti-conservative;0.79

GSE72491;GSE72491_PCBP2_KO_v_WT_DESeq_gencode.all.name.txt.gz;anti-conservative;0.72;anti-conservative;0.68

GSE72560;GSE72560_Enteric_Glia.txt.gz;conservative;1.00;NA; NA

GSE72712;GSE72712_ESCd_40-70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-d_lt40;conservative;1.00;NA; NA

GSE72712;GSE72712_ESCd_40-70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-u.cuffdiff;conservative;0.98;NA; NA

GSE72712;GSE72712_ESCd_gt70_over_ESCd_40-70.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_40-70;conservative;1.00;NA; NA

GSE72712;GSE72712_ESCd_gt70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_lt40;conservative;1.00;NA; NA

GSE72712;GSE72712_ESCd_gt70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-u.cuffdiff;conservative;0.98;NA; NA

GSE72712;GSE72712_ESCd_lt40_over_ESCu.cuffdiff.xlsx-sheet-EST-d_lt40_over_EST-u.cuffdiff;conservative;0.97;NA; NA

GSE72761;GSE72761_DESeq_LS007-LS008-LS010_LS015-LS016-LS018_DEG_list.txt.gz;conservative;0.98;other;1.00

GSE72762;GSE72762_DEseq_LS023-LS024-LS025_LS030-LS031-LS032_DEG_list.txt.gz;conservative;0.99;other;1.00

GSE72764;GSE72764_DEseq_LS39-LS40-LS42_LS44-LS45-LS48_DEG_list.csv.gz;conservative;0.97;other;1.00

GSE72787;GSE72787_deseq2_closed_vs_open.tsv.gz;spiky;0.94;NA; NA

GSE72806;GSE72806_CUFFDIFF_CONTROL_vs_HEAT_gene_exp.diff.gz;bimodal;0.81;NA; NA

GSE72806;GSE72806_CUFFDIFF_CONTROL_vs_SALT_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE72806;GSE72806_CUFFDIFF_CONTROL_vs_SALT_HEAT_gene_exp.diff.gz;bimodal;0.80;NA; NA

GSE72820;GSE72820_MDA1N-1P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA27N-27P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA2N-2P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA31N-31P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA33N-33P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA34N-34P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72820;GSE72820_MDA3N-3P_RPKM.xlsx.gz;conservative;1.00;NA; NA

GSE72830;GSE72830_gene_exp.diff.gz;bimodal;0.97;NA; NA

GSE72830;GSE72830_tss_group_exp.diff.gz;conservative;0.99;NA; NA

GSE72860;GSE72860_RNA-seq_log2fdc.txt.gz;spiky;0.72;anti-conservative;0.64

GSE72860;GSE72860_RRBS_CpG_methylation_call.txt.gz;bimodal;0.84;NA; NA

GSE72917;GSE72917_DP1_WTvKO.txt.gz;conservative;0.96;NA; NA

GSE72917;GSE72917_DP2_WTvKO.txt.gz;conservative;0.99;NA; NA

GSE72917;GSE72917_KO_DP1vDP2.txt.gz;conservative;1.00;NA; NA

GSE72917;GSE72917_WT_DP1vDP2.txt.gz;conservative;0.96;NA; NA

GSE72947;GSE72947_Dm_sir2_RNA-seq.xlsx-sheet-Analyzed Genes;conservative;1.00;NA; NA

GSE72994;GSE72994_cds_exp.diff.gz;conservative;1.00;NA; NA

GSE72994;GSE72994_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE72994;GSE72994_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE72994;GSE72994_promoters.diff.gz;conservative;1.00;NA; NA

GSE72994;GSE72994_tss_group_exp.diff.gz;conservative;1.00;NA; NA

GSE73077;GSE73077_fpkm_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE73082;GSE73082_F_Sp5_PlusversusMinusDOX_ProcessedFiles.txt.gz;bimodal;0.96;NA; NA

GSE73083;GSE73083_3F_Lef1_PlusversusMinusDOX_ProcessedFiles.txt.gz;bimodal;0.98;NA; NA

GSE73192;GSE73192_cds_chromosome_exp.diff.gz;bimodal;0.99;NA; NA

GSE73289;GSE73289_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE73321;GSE73321_FW_VS_BW_expression_diff.txt.gz;other;1.00;NA; NA

GSE73376;GSE73376_full_list_edgeR_annotated_DGCR8.txt.gz;anti-conservative;0.80;NA; NA

GSE73376;GSE73376_full_list_edgeR_annotated_RRP6.txt.gz;anti-conservative;0.82;NA; NA

GSE73678;GSE73678_Differential_gene_expression.xlsx.gz;conservative;0.97;NA; NA

GSE73893;GSE73893_Results_DEXseq.txt.gz;uniform;0.85;NA; NA

GSE73940;GSE73940_cuffdiff.gene_exp.diff.gz;conservative;0.99;NA; NA

GSE73940;GSE73940_cuffdiff.isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE73972;GSE73972_atxvsWT_gene_exp_diff.txt.gz;bimodal;0.96;NA; NA

GSE74103;GSE74103_Tobacco_FS_v_WT_DESeq_refGene.all.annotated.txt.gz;anti-conservative;0.62;anti-conservative;0.53

GSE74103;GSE74103_Tobacco_G1_v_WT_DESeq_refGene.all.annotated.txt.gz;anti-conservative;0.42;anti-conservative;0.27

GSE74103;GSE74103_Tobacco_GS_v_WT_DESeq_refGene.all.annotated.txt.gz;anti-conservative;0.29;anti-conservative;0.23

GSE74131;GSE74131_gene_exp.diff.gz;conservative;0.99;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-0;conservative;1.00;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-1;conservative;1.00;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-2;conservative;0.95;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-3;bimodal;0.88;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-4;bimodal;0.99;NA; NA

GSE74148;GSE74148_RNA-seq0415.xlsx-set-5;conservative;1.00;NA; NA

GSE74168;GSE74168_expressed_transcripts_RNAseq_GLIrnai_posterior_midgut_EC.txt.gz;anti-conservative;0.44;NA; NA

GSE74171;GSE74171_expressed_transcript_aging_RNAseq_posterior_midgut.txt.gz;anti-conservative;0.51;NA; NA

GSE74196;GSE74196_SnapC_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE74220;GSE74220_Expression_of_Protein_Coding_Genes_in_Control_and_IL1b_treated_human_chondrocytes.txt.gz;conservative;1.00;NA; NA

GSE74381;GSE74381_gene_exp_control2vsZeb2cKO2diff.xlsx;bimodal;0.78;NA; NA

GSE74868;GSE74868_ETS2_T72D_OE_Epi_RNAseq.txt.gz;conservative;0.94;NA; NA

GSE74886;GSE74886_processedFPKMS.xlsx;bimodal;0.81;NA; NA

GSE74893;GSE74893_ctrl_and_Tsc1ckO_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE74920;GSE74920_SupplementalTable1.xlsx.gz;anti-conservative;0.50;anti-conservative;0.33

GSE74920;GSE74920_SupplementalTable3.xlsx.gz;anti-conservative;0.68;anti-conservative;0.46

