"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,,Average Journal Impact Factor Percentile,Normalized Eigenfactor
7193,AUSTRALIAN JOURNAL OF EARTH SCIENCES,AUST J EARTH SCI,0812-0099,"2,195",1.198,1.066,1.500,0.278,54,>10.0,>10.0,0.002200,0.530,87.040,,30.053,0.25202
7193,INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS,INT J MOD PHYS E,0218-3013,"1,572",1.198,1.016,0.958,0.442,138,5.7,>10.0,0.003670,0.316,94.930,,28.233,0.42069
7193,JOURNAL OF TERRAMECHANICS,J TERRAMECHANICS,0022-4898,861,1.198,0.895,1.616,0.462,26,8.2,>10.0,0.000950,0.357,100.000,,25.510,0.10890
7193,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,J BRAZIL CHEM SOC,0103-5053,"4,783",1.198,1.126,1.324,0.23,261,7.1,8.7,0.005240,0.261,96.930,,31.627,0.60135
7193,Journal of Advanced Ceramics,J ADV CERAM,2226-4108,281,1.198,1.160,1.675,0.025,40,3.5,9.8,0.000800,0.336,97.500,,63.462,0.09133
7198,Economic Systems,ECON SYST,0939-3625,511,1.197,1.158,1.270,0.167,48,6.2,>10.0,0.000920,0.337,100.000,,63.256,0.10520
7198,JOURNAL OF EDUCATIONAL RESEARCH,J EDUC RES,0022-0671,"2,213",1.197,1.171,1.850,0.127,55,>10.0,>10.0,0.001440,0.535,100.000,,55.106,0.16504
7198,WATER SCIENCE AND TECHNOLOGY,WATER SCI TECHNOL,0273-1223,"18,652",1.197,1.065,1.297,0.149,650,>10.0,8.0,0.012870,0.275,99.080,,27.046,1.47675
7201,Advances in Quantum Chemistry,ADV QUANTUM CHEM,0065-3276,752,1.196,1.196,1.230,0.48,25,>10.0,>10.0,0.000580,0.401,0.000,,22.260,0.06605
7201,First Language,FIRST LANG,0142-7237,698,1.196,0.765,1.641,0.226,31,>10.0,>10.0,0.000830,0.449,100.000,,47.033,0.09479
7201,JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,J EXP THEOR PHYS+,1063-7761,"11,221",1.196,1.039,1.009,0.274,237,>10.0,>10.0,0.005360,0.321,100.000,,46.203,0.61377
7201,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,MECH ADV MATER STRUC,1537-6494,"1,016",1.196,1.151,1.179,1.286,133,4.3,>10.0,0.001700,0.322,100.000,,43.604,0.19549
7201,OXIDATION OF METALS,OXID MET,0030-770X,"2,306",1.196,0.959,1.359,0.187,75,>10.0,>10.0,0.001900,0.389,97.330,,60.135,0.21796
7201,PRIMATES,PRIMATES,0032-8332,"1,838",1.196,0.980,1.280,0.322,59,>10.0,>10.0,0.001280,0.384,96.610,,57.362,0.14726
7207,Journal of Managerial Psychology,J MANAGE PSYCHOL,0268-3946,"2,343",1.195,1.122,1.844,0.179,84,9.4,>10.0,0.001630,0.455,97.620,,33.811,0.18750
7207,Journal of the American Association for Laboratory Animal Science,J AM ASSOC LAB ANIM,1559-6109,"1,132",1.195,0.994,1.545,0.092,76,5.6,>10.0,0.002570,0.439,98.680,,61.646,0.29453
7207,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,MICROSYST TECHNOL,0946-7076,"2,664",1.195,1.012,1.025,0.287,317,5.7,8.3,0.003870,0.214,98.110,,27.143,0.44326
7207,Revista Portuguesa de Cardiologia,REV PORT CARDIOL,0870-2551,756,1.195,1.038,0.792,0.489,92,4.8,6.8,0.001300,0.190,91.300,,17.063,0.14925
7207,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,STRUCT DES TALL SPEC,1541-7794,853,1.195,0.902,1.166,0.088,57,6.6,9.1,0.001540,0.317,100.000,,50.039,0.17672
7212,AMEGHINIANA,AMEGHINIANA,0002-7014,"1,248",1.194,1.097,1.452,0.116,43,>10.0,>10.0,0.001190,0.445,100.000,,45.370,0.13660
7212,Child Indicators Research,CHILD INDIC RES,1874-897X,426,1.194,0.949,1.369,0.21,62,4.3,>10.0,0.001030,0.330,100.000,,63.021,0.11809
7212,HERPETOZOA,HERPETOZOA,1013-4425,174,1.194,0.968,0.914,0.083,12,>10.0,>10.0,0.000230,0.226,100.000,,56.135,0.02600
7212,IET Intelligent Transport Systems,IET INTELL TRANSP SY,1751-956X,642,1.194,1.057,1.389,0.177,79,4.2,7.0,0.001500,0.331,96.200,,36.765,0.17238
7212,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,J DRUG DELIV SCI TEC,1773-2247,781,1.194,1.074,1.133,0.43,142,3.9,7.8,0.001240,0.205,90.850,,16.148,0.14290
7212,OXFORD REVIEW OF ECONOMIC POLICY,OXFORD REV ECON POL,0266-903X,"1,573",1.194,1.129,1.812,1.226,31,>10.0,5.3,0.001840,0.775,100.000,,62.968,0.21113
7212,URBAN EDUCATION,URBAN EDUC,0042-0859,963,1.194,1.045,1.727,0.333,45,9.0,>10.0,0.001650,0.579,95.560,,47.735,0.18909
7219,Arquivos Brasileiros de Endocrinologia e Metabologia,ARQ BRAS ENDOCRINOL,0004-2730,"1,446",1.193,1.193,1.198,Not Available,0,6.9,Not Available,0.001920,0.264,Not Available,,10.507,0.22045
7219,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,0161-1461,"1,305",1.193,0.930,1.882,0.037,27,9.8,>10.0,0.001530,0.660,96.300,,52.982,0.17532
7219,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,0161-1461,"1,305",1.193,0.930,1.882,0.037,27,9.8,>10.0,0.001530,0.660,96.300,,52.982,0.17532
7222,Cliometrica,CLIOMETRICA,1863-2505,111,1.192,1.192,0.868,0.308,13,4.9,>10.0,0.000520,0.534,100.000,,85.557,0.05991
7222,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,J PERFORM CONSTR FAC,0887-3828,"1,310",1.192,0.895,1.196,0.094,212,6.5,10.0,0.002160,0.303,97.640,,48.820,0.24723
7222,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,NONLINEAR ANAL-THEOR,0362-546X,"9,412",1.192,1.080,1.353,0.183,262,7.7,>10.0,0.023590,0.795,100.000,,76.920,2.70667
7225,Advances in Botanical Research,ADV BOT RES,0065-2296,"1,139",1.191,1.191,1.505,0.552,29,9.2,7.7,0.001360,0.446,0.000,,41.745,0.15613
7225,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,COMMUN CONTEMP MATH,0219-1997,744,1.191,1.118,1.134,0.342,76,7.8,>10.0,0.004030,1.173,100.000,,76.563,0.46174
7225,GEORGE WASHINGTON LAW REVIEW,GEORGE WASH LAW REV,0016-8076,934,1.191,1.085,1.304,0.523,44,9.2,>10.0,0.001710,0.500,100.000,,65.436,0.19996
7225,Journal of Disability Policy Studies,J DISABIL POLICY STU,1044-2073,384,1.191,1.128,1.495,0.042,24,6.9,9.0,0.000710,0.443,100.000,,50.714,0.08129
7225,Science of Nature,SCI NAT-HEIDELBERG,0028-1042,116,1.191,1.132,1.191,0.376,93,1.3,>10.0,0.000340,0.345,97.850,,55.469,0.03869
7230,Anatolian Journal of Cardiology,ANATOL J CARDIOL,2149-2263,985,1.190,0.870,1.069,0.51,143,3.7,8.1,0.001690,0.194,95.800,,16.270,0.19456
7230,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,J SOL ENERG-T ASME,0199-6231,"3,182",1.190,1.116,1.940,0.267,75,>10.0,7.2,0.002510,0.387,98.670,,33.758,0.28852
7230,JOURNAL OF VECTOR BORNE DISEASES,J VECTOR DIS,0972-9062,671,1.190,1.026,1.073,0.102,59,6.7,8.5,0.001140,0.288,89.830,,30.291,0.13056
7230,PSYCHOLOGY IN THE SCHOOLS,PSYCHOL SCHOOLS,0033-3085,"2,306",1.190,1.056,1.588,0.113,71,9.0,9.9,0.002460,0.454,100.000,,35.345,0.28184
7234,JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,J ORGAN BEHAV MANAGE,0160-8061,373,1.189,0.676,1.075,0.0,15,>10.0,>10.0,0.000190,0.143,86.670,,32.928,0.02199
7234,Journal of Medical Imaging and Radiation Oncology,J MED IMAG RADIAT ON,1754-9477,945,1.189,1.112,1.360,0.326,95,4.3,7.3,0.002730,0.387,90.530,,24.803,0.31411
7234,RARE METALS,RARE METALS,1001-0521,"1,202",1.189,0.886,0.885,0.257,140,5.3,8.0,0.001810,0.166,92.860,,44.210,0.20637
7234,Standards in Genomic Sciences,STAND GENOMIC SCI,1944-3277,967,1.189,1.065,1.408,0.274,84,4.6,9.3,0.002800,0.422,98.810,,15.135,0.32120
7238,EPISODES,EPISODES,0705-3797,"1,729",1.188,1.109,2.626,0.108,37,>10.0,>10.0,0.002070,0.884,94.590,,29.521,0.23762
7238,GRAPHICAL MODELS,GRAPH MODELS,1524-0703,858,1.188,1.188,1.358,0.08,25,>10.0,8.2,0.001660,0.667,100.000,,41.038,0.19073
7238,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE T ENG MANAGE,0018-9391,"2,496",1.188,1.098,1.943,0.027,37,>10.0,9.6,0.002250,0.553,97.300,,30.126,0.25855
7238,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE T ENG MANAGE,0018-9391,"2,496",1.188,1.098,1.943,0.027,37,>10.0,9.6,0.002250,0.553,97.300,,30.126,0.25855
7238,JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,0021-9320,"1,222",1.188,0.921,1.272,0.632,57,9.6,9.1,0.001420,0.394,98.250,,44.663,0.16284
7238,Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,1937-321X,177,1.188,1.188,Not Available,0.0,11,5.0,>10.0,0.000720,Not Available,100.000,,55.033,0.08285
7238,MICROGRAVITY SCIENCE AND TECHNOLOGY,MICROGRAVITY SCI TEC,0938-0108,636,1.188,0.733,1.120,0.344,64,6.7,9.9,0.000840,0.250,98.440,,45.228,0.09614
7238,Sexual and Relationship Therapy,SEX RELATSH THER,1468-1994,521,1.188,1.000,1.101,0.03,33,8.7,9.8,0.000710,0.335,93.940,,35.950,0.08179
7246,GEOMETRY & TOPOLOGY,GEOM TOPOL,1465-3060,"1,247",1.187,1.119,1.326,0.321,56,7.8,>10.0,0.009450,2.120,100.000,,86.334,1.08608
7246,IET Microwaves Antennas & Propagation,IET MICROW ANTENNA P,1751-8725,"2,114",1.187,1.019,1.297,0.181,237,4.9,7.1,0.007130,0.469,99.160,,31.968,0.81601
7246,JOURNAL OF HEALTH POPULATION AND NUTRITION,J HEALTH POPUL NUTR,1606-0997,"1,443",1.187,1.150,1.665,0.139,36,7.3,7.7,0.002360,0.515,100.000,,24.781,0.27127
7249,Arquivos Brasileiros de Cardiologia,ARQ BRAS CARDIOL,0066-782X,"2,356",1.186,0.934,1.234,0.225,129,6.5,7.7,0.003100,0.274,90.700,,15.476,0.35558
7249,Energy Efficiency,ENERG EFFIC,1570-646X,678,1.186,1.086,1.592,0.227,88,4.6,7.2,0.001390,0.369,98.860,,24.468,0.15967
7249,Energy Efficiency,ENERG EFFIC,1570-646X,678,1.186,1.086,1.592,0.227,88,4.6,7.2,0.001390,0.369,98.860,,24.468,0.15967
7249,JOURNAL OF FAMILY THERAPY,J FAM THER,0163-4445,611,1.186,1.034,1.285,0.111,27,>10.0,>10.0,0.000640,0.326,96.300,,36.748,0.07330
7253,HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW,HARVARD CIVIL RIGHTS,0017-8039,364,1.185,1.148,1.708,0.333,6,8.8,>10.0,0.000850,0.817,100.000,,64.765,0.09842
7253,Journal of Toxicologic Pathology,J TOXICOL PATHOL,0914-9198,323,1.185,1.092,1.067,0.07,43,4.5,>10.0,0.000730,0.260,88.370,,14.698,0.08366
7253,LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,0740-8188,962,1.185,1.123,1.695,0.079,38,8.8,8.9,0.001160,0.465,92.110,,51.176,0.13354
7253,PROSTHETICS AND ORTHOTICS INTERNATIONAL,PROSTHET ORTHOT INT,0309-3646,"1,246",1.185,1.040,1.263,0.247,93,9.5,>10.0,0.001340,0.311,88.170,,37.485,0.15430
7253,Revista de Educacion,REV EDUC,0034-8082,"1,320",1.185,1.123,1.327,0.333,27,7.3,9.8,0.001110,0.209,100.000,,54.255,0.12739
7253,Seminars in Ophthalmology,SEMIN OPHTHALMOL,0882-0538,959,1.185,1.161,1.291,0.253,83,6.1,>10.0,0.001970,0.392,45.780,,17.797,0.22667
7259,ECS Solid State Letters,ECS SOLID STATE LETT,2162-8742,456,1.184,1.184,1.265,Not Available,0,3.2,Not Available,0.001630,0.316,Not Available,,27.981,0.18726
7259,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,OIL GAS SCI TECHNOL,1294-4475,"1,555",1.184,1.118,1.361,0.409,66,8.3,>10.0,0.001900,0.375,98.480,,43.746,0.21787
7261,ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,"4,386",1.183,1.120,1.780,0.104,77,>10.0,>10.0,0.002620,0.526,100.000,,39.455,0.29980
7261,Developmental Neurorehabilitation,DEV NEUROREHABIL,1751-8423,653,1.183,1.163,1.414,0.362,47,5.0,9.9,0.001410,0.383,89.360,,28.004,0.16199
7261,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,INT J INTERCULT REL,0147-1767,"2,433",1.183,0.968,1.826,0.173,52,10.0,>10.0,0.003390,0.594,98.080,,49.998,0.38939
7261,NEFROLOGIA,NEFROLOGIA,0211-6995,961,1.183,0.887,1.351,0.197,71,5.3,7.6,0.001650,0.286,81.690,,24.026,0.18803
7265,Advances in Calculus of Variations,ADV CALC VAR,1864-8258,145,1.182,1.182,0.974,0.95,20,4.0,>10.0,0.001530,1.364,100.000,,76.046,0.17635
7265,Cognitive Systems Research,COGN SYST RES,1389-0417,492,1.182,1.030,1.240,0.346,26,7.5,>10.0,0.000730,0.395,100.000,,20.195,0.08409
7265,Cognitive Systems Research,COGN SYST RES,1389-0417,492,1.182,1.030,1.240,0.346,26,7.5,>10.0,0.000730,0.395,100.000,,20.195,0.08409
7265,ECONOMIC THEORY,ECON THEOR,0938-2259,"1,908",1.182,0.795,1.245,0.148,61,>10.0,>10.0,0.006880,1.286,100.000,,62.104,0.79109
7265,ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,ICHNOS,1042-0940,573,1.182,1.045,1.216,0.174,23,>10.0,>10.0,0.000500,0.302,100.000,,43.519,0.05778
7265,Korean Journal of Orthodontics,KOREAN J ORTHOD,2234-7518,287,1.182,0.727,1.005,0.333,42,3.8,9.3,0.000820,0.294,95.240,,31.667,0.09411
7271,Actas Urologicas Espanolas,ACTAS UROL ESP,0210-4806,779,1.181,0.741,0.950,0.227,88,4.9,6.7,0.001090,0.164,82.950,,22.727,0.12500
7271,COUNSELING PSYCHOLOGIST,COUNS PSYCHOL,0011-0000,"2,105",1.181,1.032,1.787,0.614,44,>10.0,9.5,0.001990,0.590,97.730,,31.875,0.22883
7271,INDOOR AND BUILT ENVIRONMENT,INDOOR BUILT ENVIRON,1420-326X,"1,069",1.181,0.994,1.318,0.172,99,5.9,9.9,0.001640,0.284,94.950,,30.934,0.18838
7271,PEDIATRIC SURGERY INTERNATIONAL,PEDIATR SURG INT,0179-0358,"3,536",1.181,1.056,1.236,0.262,172,8.0,9.0,0.005220,0.358,86.630,,31.264,0.60005
7271,SYSTEMATIC PARASITOLOGY,SYST PARASITOL,0165-5752,"1,392",1.181,0.917,1.087,0.31,71,>10.0,>10.0,0.001410,0.306,97.180,,29.167,0.16247
7276,CyTA-Journal of Food,CYTA-J FOOD,1947-6337,374,1.180,1.014,1.056,0.286,84,3.0,8.9,0.001000,0.232,96.430,,41.923,0.11504
7276,EXPERT SYSTEMS,EXPERT SYST,0266-4720,469,1.180,1.056,1.188,0.372,43,6.2,7.7,0.000770,0.297,97.670,,37.852,0.08883
7276,Journal of Superconductivity and Novel Magnetism,J SUPERCOND NOV MAGN,1557-1939,"2,746",1.180,0.898,0.902,0.339,437,3.3,9.1,0.005910,0.179,97.710,,26.813,0.62325
7279,Advances in Clinical and Experimental Medicine,ADV CLIN EXP MED,1899-5276,677,1.179,1.129,1.039,0.088,147,3.1,8.9,0.001780,0.228,83.670,,20.703,0.20500
7279,DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,349,1.179,1.154,1.314,0.105,19,>10.0,8.3,0.000450,0.364,100.000,,35.607,0.05165
7279,HIGH PERFORMANCE POLYMERS,HIGH PERFORM POLYM,0954-0083,"1,142",1.179,0.915,1.232,0.172,128,5.4,8.9,0.001380,0.198,98.440,,37.791,0.15777
7279,International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,1557-1874,766,1.179,1.111,1.399,0.136,88,5.5,9.7,0.001570,0.367,97.730,,23.202,0.18034
7279,International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,1557-1874,766,1.179,1.111,1.399,0.136,88,5.5,9.7,0.001570,0.367,97.730,,23.202,0.18034
7279,International Journal of Speech-Language Pathology,INT J SPEECH-LANG PA,1754-9507,675,1.179,1.122,1.413,0.519,52,4.8,>10.0,0.001950,0.471,96.150,,46.154,0.22429
7279,International Journal of Speech-Language Pathology,INT J SPEECH-LANG PA,1754-9507,675,1.179,1.122,1.413,0.519,52,4.8,>10.0,0.001950,0.471,96.150,,46.154,0.22429
7286,Journal of Housing and the Built Environment,J HOUS BUILT ENVIRON,1566-4910,547,1.178,1.082,1.194,0.179,39,6.9,9.5,0.001170,0.478,97.440,,31.222,0.13421
7286,TURKISH JOURNAL OF EARTH SCIENCES,TURK J EARTH SCI,1300-0985,729,1.178,1.041,1.581,0.233,30,6.7,>10.0,0.001430,0.491,100.000,,28.989,0.16462
7288,European Journal of Ageing,EUR J AGEING,1613-9372,682,1.177,1.065,1.834,0.5,30,6.6,9.3,0.001640,0.726,93.330,,39.063,0.18816
7288,International Journal of Ophthalmology,INT J OPHTHALMOL-CHI,2222-3959,"1,054",1.177,1.054,1.124,0.113,282,3.2,7.2,0.003340,0.276,91.490,,16.102,0.38318
7288,Marine Ecology-An Evolutionary Perspective,MAR ECOL-EVOL PERSP,0173-9565,"1,637",1.177,1.122,1.319,0.107,112,8.3,>10.0,0.001880,0.382,98.210,,40.476,0.21585
7288,Marine and Coastal Fisheries,MAR COAST FISH,1942-5120,446,1.177,1.016,1.858,0.256,43,5.2,>10.0,0.001540,0.632,100.000,,42.738,0.17652
7292,COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,0097-8493,"1,851",1.176,1.102,1.355,0.804,97,7.3,8.1,0.003920,0.531,100.000,,40.094,0.45017
7292,Spatial Statistics,SPAT STAT-NETH,2211-6753,214,1.176,0.965,1.732,0.017,59,3.2,9.9,0.001390,0.785,98.310,,40.266,0.15920
7292,Systems Biology in Reproductive Medicine,SYST BIOL REPROD MED,1939-6368,466,1.176,1.147,1.422,0.085,47,4.3,7.9,0.001250,0.357,87.230,,21.034,0.14403
7292,VETERINARY QUARTERLY,VET QUART,0165-2176,855,1.176,1.162,1.152,0.5,26,>10.0,9.2,0.000770,0.369,76.920,,65.809,0.08806
7296,BULLETIN OF GEOSCIENCES,B GEOSCI,1214-1119,553,1.175,1.050,1.398,0.111,36,5.3,>10.0,0.001210,0.380,100.000,,34.796,0.13858
7296,GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSH FRAUENHEILK,0016-5751,610,1.175,0.944,0.752,0.153,131,4.2,8.6,0.001060,0.166,77.860,,16.875,0.12198
7298,CHINESE JOURNAL OF CHEMICAL ENGINEERING,CHINESE J CHEM ENG,1004-9541,"2,494",1.174,1.040,1.328,0.249,225,5.6,8.6,0.003610,0.261,97.330,,37.407,0.41474
7298,INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,INT J PSYCHIAT CLIN,1365-1501,589,1.174,1.141,1.388,0.128,39,5.5,9.2,0.001150,0.356,92.310,,21.479,0.13185
7298,IOWA LAW REVIEW,IOWA LAW REV,0021-0552,"1,001",1.174,1.114,1.259,0.348,46,7.8,>10.0,0.002230,0.534,97.830,,64.094,0.25951
7298,Journal of Hydrodynamics,J HYDRODYN,1001-6058,"1,403",1.174,0.897,1.204,0.239,109,6.1,7.4,0.002070,0.267,97.250,,33.459,0.23718
7302,CUTIS,CUTIS,0011-4162,"1,807",1.173,1.094,0.955,0.125,88,>10.0,9.7,0.001430,0.237,94.320,,26.190,0.16465
7302,INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,1091-9856,"1,601",1.173,1.073,1.692,0.173,52,9.0,>10.0,0.003400,0.908,100.000,,35.307,0.39016
7304,SERVICE INDUSTRIES JOURNAL,SERV IND J,0264-2069,"2,110",1.172,0.902,1.461,0.135,37,7.4,>10.0,0.001960,0.267,100.000,,31.701,0.22504
7305,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,1058-0360,"1,680",1.171,1.023,2.047,0.141,64,9.0,>10.0,0.002520,0.689,96.880,,44.275,0.28914
7305,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,1058-0360,"1,680",1.171,1.023,2.047,0.141,64,9.0,>10.0,0.002520,0.689,96.880,,44.275,0.28914
7305,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,AUSTRALAS PHYS ENG S,0158-9938,514,1.171,0.914,1.038,0.198,86,4.9,8.1,0.000940,0.228,94.190,,31.818,0.10758
7305,Clinics,CLINICS,1807-5932,"2,888",1.171,1.132,1.576,0.068,117,5.3,8.9,0.006780,0.408,85.470,,42.903,0.77925
7305,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,IEEE T NUCL SCI,0018-9499,"10,869",1.171,0.912,1.277,0.152,363,>10.0,9.5,0.013090,0.376,100.000,,46.435,1.50270
7305,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,0129-1831,"1,846",1.171,0.904,1.101,0.275,153,8.6,9.6,0.002170,0.257,100.000,,38.139,0.24847
7305,JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,J VET EMERG CRIT CAR,1479-3261,997,1.171,0.911,1.363,0.172,93,5.9,9.9,0.001710,0.330,96.770,,65.074,0.19686
7305,JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,1045-926X,676,1.171,1.164,1.094,0.455,11,8.1,>10.0,0.000750,0.234,100.000,,39.151,0.08638
7313,AGROFORESTRY SYSTEMS,AGROFOREST SYST,0167-4366,"2,637",1.170,0.994,1.443,0.274,84,>10.0,>10.0,0.002190,0.316,98.810,,55.991,0.25070
7313,Building Simulation,BUILD SIMUL-CHINA,1996-3599,396,1.170,0.938,1.352,0.339,56,3.7,8.0,0.000880,0.290,98.210,,40.171,0.10059
7313,Fundamental and Applied Limnology,FUND APPL LIMNOL,1863-9135,741,1.170,1.102,1.167,0.267,45,6.8,>10.0,0.001130,0.320,100.000,,38.036,0.13015
7313,GENERAL PHYSIOLOGY AND BIOPHYSICS,GEN PHYSIOL BIOPHYS,0231-5882,883,1.170,1.045,1.152,0.294,51,7.7,9.4,0.000910,0.247,94.120,,14.637,0.10452
7313,Journal of Pipeline Systems Engineering and Practice,J PIPELINE SYST ENG,1949-1190,170,1.170,1.000,1.306,0.1,40,3.7,>10.0,0.000590,0.378,100.000,,37.657,0.06733
7313,Letters in Drug Design & Discovery,LETT DRUG DES DISCOV,1570-1808,832,1.170,0.881,0.840,0.28,125,4.2,8.8,0.001190,0.133,99.200,,19.167,0.13688
7313,Nursing & Health Sciences,NURS HEALTH SCI,1441-0745,"1,203",1.170,0.965,1.632,0.377,69,5.9,6.8,0.001930,0.374,97.100,,52.182,0.22180
7313,Nursing & Health Sciences,NURS HEALTH SCI,1441-0745,"1,203",1.170,0.965,1.632,0.377,69,5.9,6.8,0.001930,0.374,97.100,,52.182,0.22180
7321,IEEE INDUSTRY APPLICATIONS MAGAZINE,IEEE IND APPL MAG,1077-2618,772,1.169,1.157,1.040,0.163,43,>10.0,9.3,0.001020,0.315,95.350,,32.039,0.11630
7321,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,INT J ARTIF ORGANS,0391-3988,"1,858",1.169,0.938,1.384,0.263,76,8.1,6.8,0.002530,0.352,90.790,,22.260,0.29098
7321,Palaeoworld,PALAEOWORLD,1871-174X,428,1.169,1.104,Not Available,0.51,51,6.7,>10.0,0.000680,Not Available,100.000,,39.815,0.07785
7321,Tissue Engineering and Regenerative Medicine,TISSUE ENG REGEN MED,1738-2696,383,1.169,0.803,0.902,0.064,78,3.3,8.1,0.000750,0.150,87.180,,16.450,0.08619
7325,EPILEPTIC DISORDERS,EPILEPTIC DISORD,1294-9361,"1,050",1.168,1.121,1.228,0.258,62,7.3,9.4,0.001940,0.380,93.550,,16.237,0.22282
7325,INDUSTRIAL HEALTH,IND HEALTH,0019-8366,"1,650",1.168,1.084,1.360,0.177,62,9.1,>10.0,0.001850,0.380,96.770,,17.627,0.21263
7327,CHINESE JOURNAL OF PHYSIOLOGY,CHINESE J PHYSIOL,0304-4920,559,1.167,1.000,1.164,0.108,37,6.3,9.0,0.000680,0.211,97.300,,13.690,0.07871
7327,EUROPEAN JOURNAL OF ENTOMOLOGY,EUR J ENTOMOL,1802-8829,"1,698",1.167,1.118,1.089,0.111,72,9.7,>10.0,0.002050,0.332,97.220,,55.376,0.23497
7327,Engineering Applications of Computational Fluid Mechanics,ENG APPL COMP FLUID,1994-2060,441,1.167,0.889,1.333,0.167,42,4.6,9.8,0.001210,0.359,90.480,,41.453,0.13880
7327,Health Policy and Technology,HEALTH POLICY TECHN,2211-8837,153,1.167,0.819,1.205,0.077,39,2.7,8.3,0.000440,0.250,92.310,,25.325,0.05018
7327,Journal of Global Information Technology Management,J GLOB INF TECH MAN,1097-198X,228,1.167,1.042,1.250,0.167,12,8.4,9.6,0.000160,0.186,91.670,,50.000,0.01843
7327,Nature + Culture,NAT CULT,1558-6073,233,1.167,1.167,1.779,1.6,15,3.9,>10.0,0.000720,0.649,86.670,,23.333,0.08247
7327,Progress in Tumor Research,PROG TUMOR RES,0079-6263,21,1.167,1.167,1.167,Not Available,0,Not Available,Not Available,0.000070,0.264,Not Available,,8.525,0.00785
7327,Spatial Cognition and Computation,SPAT COGN COMPUT,1387-5868,306,1.167,1.083,1.215,0.385,13,>10.0,>10.0,0.000410,0.436,100.000,,16.071,0.04669
7327,Translational Cancer Research,TRANSL CANCER RES,2218-676X,375,1.167,1.125,1.677,0.307,140,3.0,4.9,0.001220,0.430,79.290,,8.525,0.14055
7336,ARCTIC,ARCTIC,0004-0843,"1,744",1.165,1.113,1.262,0.156,32,>10.0,>10.0,0.001320,0.400,96.880,,24.289,0.15117
7336,FIRE SAFETY JOURNAL,FIRE SAFETY J,0379-7112,"2,602",1.165,1.038,1.718,0.169,77,7.9,>10.0,0.003150,0.460,93.510,,36.473,0.36155
7336,IET Optoelectronics,IET OPTOELECTRON,1751-8768,290,1.165,1.143,0.995,0.294,34,4.3,7.5,0.000640,0.225,100.000,,30.519,0.07310
