Accession,suppdata_id,Type,SRP,pi0,fp,rs,ud,Type_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,Type_pi0method_hist,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,Type_after_filter_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist
GSE79779,GSE79779_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66232,GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep1.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE52367,GSE52367_Cuflinks_2338_2339.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89319,GSE89319_5hpf_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE82164,GSE82164_Cuffdiff_gene_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_cds_exp.diff_A_B_CDS.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94821,GSE94821_cuffdiff_mock_vs_20hpi.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61336,GSE61336_results_167_vs_WTL.txt.gz,bimodal,NA,NA,NA,NA,NA,anti-conservative,0.7974468845769604,0.41887711506681796,26,393.93876098101845,125.47699533877199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE81059,GSE81059_cns-control_vs_cns-ptc.csv.gz,conservative,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76151,GSE76151_A2B1_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76232,GSE76232_isoforms.diff_exp_ann_result.xls.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66232,GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep2.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58405,GSE58405_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE51847,GSE51847_Expression_table_LE-2_x_HR-3.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100908,GSE100908_Gene_expression_HP_vs_LP.xlsx,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100908,GSE100908_Gene_expression_SHP_vs_SLP.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101664,GSE101664_Darz2r_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101664,GSE101664_Dmel2r_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101664,GSE101664_Dmoj2r_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102421,GSE102421_isoform_exp.diff.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE107671,GSE107671_abundance.xlsx-set-0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108676,GSE108676_Human_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108676,GSE108676_Monkey_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109844,GSE109844_CD4low_vs_murine_N_CD4_diff.xls.gz,other,NA,NA,NA,NA,NA,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE111082,GSE111082_Mouse_EV_N2NL_DESeq2.txt.gz,other,NA,NA,NA,NA,NA,anti-conservative,0.9046675363229898,0.8397053974416478,20.05,344.63309796224297,40.14392092079112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE113240,GSE113240_eworo_vs_OreR_gene_exp_diff_Cuffdiff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE123017,GSE123017_IMCD3_gene_exp_diff.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE123017,GSE123017_RPE1_gene_exp_diff.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_cds_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_cds.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_promoters.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_splicing.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_cds.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE40187,GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE40187,GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE44233,GSE44233_processed_data.txt.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,0.6363333637268902,0.7178048784929355,18.25,220.6485938722992,198.16877963014156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz-set-0,bimodal,NA,NA,NA,NA,NA,anti-conservative,0.7979575896078556,0.6595851133827642,37.300000000000004,565.5125437550872,179.44243918436837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58052,GSE58052_N.winogradskyi_co-culture_over_single-culture.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59705,GSE59705_DEXseqresultstable.txt.gz,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63161,GSE63161_diff-Gene-list.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66767,GSE66767_CD34_cord_blood.EET.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66767,GSE66767_U937.EET.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE67654,GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1-set-0,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE67654,GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1-set-1,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68176,GSE68176_Camfl1.gene_exp.diff.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72860,GSE72860_RNA-seq_log2fdc.txt.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,0.7773519334925043,0.6427714453031776,32.300000000000004,477.06088158434983,175.77510587997745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72860,GSE72860_RRBS_CpG_methylation_call.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78711,GSE78711_gene.exp.all.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84699,GSE84699_RNAseq_pcbp1kd_vs_control_DESeq2.txt.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,0.9102711936240896,0.18876070519816648,65.10000000000001,1125.9144393936363,121.92581879307136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84875,GSE84875_human_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84875,GSE84875_mouse_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE86239,GSE86239_ETS2shRNA_gene_exp.diff.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89796,GSE89796_161107_Supplementary_Information_FD2MinDiffExp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89796,GSE89796_161107_Supplementary_Information_FD2ProDiffExp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89796,GSE89796_161107_Supplementary_Information_hMSCMinDiffExp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89796,GSE89796_161107_Supplementary_Information_hMSCProDiffExp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE91001,GSE91001_Galaxy255-AveragedPerCRNAseqData.tabular.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE91001,GSE91001_PerC_RNAseq_averageddata.xls.gz-sheet-diffexp_rerun,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE92887,GSE92887_mouse_PC_hypox_vs_normox_FPKM.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99304,GSE99304_U2OSSGcuffdiff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100578,GSE100578_jmjc_vs_WT.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.7871918177940315,0.42504654860506746,49.5,740.3539046352865,254.25327199867002,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.7040841790051572,0.35718105015506363,49.5,662.1911703543503,395.27777777777783
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-0,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-1,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-3,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99944,GSE99944_Digo_expression_SD-T50nM_SD-Ctrl.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8563466559509045,0.3351123520083351,54.6,888.3740208834682,174.02529464081363,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8123727486296006,0.2991218441273326,54.6,842.7554894283476,239.5999999999999
GSE81059,GSE81059_cns-control_vs_head-control.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9187255159831261,0.12517570234755415,75.55,1318.7845419179785,126.9861956072682,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8968505055094854,0.10383793138552379,75.55,1287.384058133591,165.09545454545446
GSE80348,GSE80348_20160316_6h_wt_vs_mu.xlsx,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9272434811444428,0.11397226206998706,57.25,1008.6090966148677,85.35072501933723,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9110134003350083,0.09818731117824774,57.25,990.9548262144053,106.25
GSE75510,GSE75510_diffExonExprZH1vsB6.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75510,GSE75510_diffExonExprZH3vsB6.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE107419,GSE107419_DEG_N_vs_ESC_DEseq.xlsx,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93313,GSE93313_DESeq_2Dvs3D.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8101290939921498,0.4232927672343942,65.95,1015.1322612268633,293.67879827735464,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.7182860418458009,0.3495525727069351,65.95,900.0483247348808,491.4500000000003
GSE107419,GSE107419_DEG_P_vs_N_DEseq.xlsx,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93313,GSE93313_DESeq_2DvsTranswell.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8732138777770403,0.34318705915826314,81.05000000000001,1344.705711082753,223.59274616006383,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8418313158922294,0.3187017823889332,81.05000000000001,1296.3781349082385,289.33571428571463
GSE69110,GSE69110_d2GFP_vs_d2Sox9OE.deseq.res.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE107419,GSE107419_DEG_Prl_vs_N_DEseq.xlsx,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93313,GSE93313_DESeq_3DvsTranswell.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8055532112984757,0.5536803756064189,52,795.8865727628939,238.48632783356084,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.7515212981744421,0.5215914604560893,52,742.5030425963488,326.66666666666674
GSE107419,GSE107419_DEG_Prl_vs_P_DEseq.xlsx,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100990,GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE102300,GSE102300_diffexpr-results.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE74929,GSE74929_Diff_Exp.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE40948,GSE40948_NPC_vs_ESC_2replicates_result_10.transcript_summary.tsv.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75833,GSE75833_DESeq-processed_FB.control_vs_BR.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9231484900532412,0.1422502318521519,40.300000000000004,706.8547988337667,63.74402579896912,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9244793238756414,0.14348500517063081,40.300000000000004,707.8738182915786,62.55000000000007
GSE39812,GSE39812_FB_result_transcript_summary.tsv.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93547,GSE93547_LMvsWTM_cleaned_deseq2.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8651395042615005,0.3194453603642785,39.2,644.3559027739656,116.10161913918773,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8361828388131515,0.2958780350084698,39.2,622.7889783480351,145.91428571428582
GSE83134,GSE83134_RYBPfl.DESeq2.Output.txt.gz-set-0,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,0.9904929960774811,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,0.977683315621679,NA,NA,NA
GSE66822,GSE66822_PRMT5-vs-WT_SC-mrna_counts.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE94280,GSE94280_DESeq2_results_Y_vs_O.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8890606741284043,0.32770805106265666,60.400000000000006,1020.2860296297566,143.20054195969942,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.847221476510067,0.29450757575757575,60.400000000000006,972.2713664429527,206.94545454545482
GSE106371,GSE106371_SupplementalTableS1_counts.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE87706,GSE87706_SM_vs_RODI.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.906493036196604,0.13441670097310335,37.25,641.5704463681465,73.00613572226075,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.8662790697674418,0.0942350332594235,37.25,613.109011627907,109.25
GSE74171,GSE74171_expressed_transcript_aging_RNAseq_posterior_midgut.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59715,GSE59715_finalHiCRNAseqTable.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.6158699171273981,0.4376586608752812,43.2,505.5060279781684,511.9489737255835,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.4744508670520231,0.270042194092827,43.2,389.4292716763005,909.2
GSE49587,GSE49587_ORvSmn_DEUtable.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE119046,GSE119046_rpoS819_vs_wtrpoS.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9297650408645798,0.17427250499155417,48.650000000000006,859.4283155231742,69.82590399016897,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.9164543929225137,0.16227958088423206,48.650000000000006,847.1246180979255,84.26538461538462
GSE74168,GSE74168_expressed_transcripts_RNAseq_GLIrnai_posterior_midgut_EC.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE57482,GSE57482_output_score.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE118217,GSE118217_AN_vs_AW.xlsx.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE108732,GSE108732_DEseq2-F.xlsx-sheet-DEseq2 output,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.6716950284917655,0.6759670868508753,7.95,101.45953405368117,73.8288417254926,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.5370232708468001,0.5947078857741681,7.95,81.11736506140915,130.22272727272733
GSE89238,GSE89238_SET2_KO_DESeq2_output.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.74950419699827,0.6725008616044242,15.8,225.00115993888065,100.3314462577892,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.6458439272442791,0.6199360737381996,15.8,193.88234695873257,164.61818181818194
GSE108732,GSE108732_DEseq2-NF.csv.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.7097196110562867,0.6689981866060644,9.1,122.71052075163198,70.71733465793662,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,0.5776169265033408,0.5932971014492754,9.1,99.86996659242763,126.43333333333331
GSE86054,GSE86054_gene_expression.txt.gz,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_AretIR_03d_vs_IFMWT_03d.txt.gz,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
