Accession,PDAT,suppdata_id,Type,pi0,SRP,fp,rs,ud,QCType,Type_after_filter,QCType_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist,model,taxon,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,citations,source,issn,total_cites,IF,impact_factor_without_journal_self_cites,5-year_impact_factor,immediacy_index,citable_items,cited_half-life,citing_half-life,eigenfactor_score,article_influence_score,%_articles_in_citable_items,average_journal_impact_factor_percentile,normalized_eigenfactor
GSE64080,2016-06-28,GSE64080_miR-93_CuffDiff.xls.gz-sheet-diffExpResults-set-1,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,27350436,2016 Jun 28,2016 Jun 28,Nat Commun,Badal SSWang YLong JCorcoran DLChang BHTruong LDKanwar YSOverbeek PADanesh FR,Danesh FR,miR-93 regulates Msk2-mediated chromatin remodelling in diabetic nephropathy.,7,NA,12076,English,101528555,NA,2041-1723,Journal Article,PubMed - indexed for MEDLINE,epublish,27350436ncomms1207610.1038/ncomms12076PMC49313232735043627350436pmc-id: PMC4931323;,10.1038/ncomms12076,2016/01/15 00:002016/05/26 00:002016/06/29 06:002016/06/29 06:002018/08/22 06:00,Nat Rev Nephrol. 2016 Jul 18;12 (8):444. PMID: 27425389,1,8,nature communications,doi: 10.1038/ncomms12076,2016 Jun 28;7:12076,NA,nat commun,2041-1723,123958,12.124,11.814,13.092,1.993,3534,2.5,6.9,0.72169,5.735,99.770,96.094,82.76768
GSE64185,2014-12-16,GSE64185_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,25660023,2015 Feb 10,2015 Feb 5,Cell Rep,Jurida LSoelch JBartkuhn MHandschick KMüller HNewel DWeber ADittrich-Breiholz OSchneider HBhuju SSaul VVSchmitz MLKracht M,Kracht M,The Activation of IL-1-Induced Enhancers Depends on TAK1 Kinase Activity and NF-κB p65.,10,5,726-739,English,101573691,NA,2211-1247,Journal Article,PubMed,ppublish+epublish,25660023S2211-1247(15)00002-910.1016/j.celrep.2015.01.0012566002325660023,10.1016/j.celrep.2015.01.001,2014/05/30 00:002014/11/13 00:002014/12/26 00:002015/02/11 06:002015/02/11 06:012015/02/10 06:00,NA,1,10,cell reports,doi: 10.1016/j.celrep.2015.01.001,2015 Feb 10;10(5):726-739,NA,cell rep,2211-1247,20705,8.282,8.046,8.728,1.429,1062,2.5,6.5,0.15837,5.023,100.000,86.579,18.17468
GSE64242,2015-08-28,GSE64242_cufdiff_isoform_exp.diff.gz,anti-conservative,0.9291008143939333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6954832012080032,0.8864308681672026,969.6500000000001,12813.130434975465,8066.6499999999905,NA,NA,NA,NA,NA,Other taxa,Brassica juncea,25604693,2015 Jan 21,2015 Jan 21,BMC Plant Biol,Bhardwaj ARJoshi GKukreja BMalik VArora PPandey RShukla RNBankar KGKatiyar-Agarwal SGoel SJagannath AKumar AAgarwal M,Agarwal M,Global insights into high temperature and drought stress regulated genes by RNA-Seq in economically important oilseed crop Brassica juncea.,15,NA,9,English,100967807,NA,1471-2229,Journal Article,PubMed - indexed for MEDLINE,epublish,2560469310.1186/s12870-014-0405-1s12870-014-0405-1PMC43101662560469325604693pmc-id: PMC4310166;,10.1186/s12870-014-0405-1,2014/09/25 00:002014/12/22 00:002015/01/22 06:002015/01/22 06:002016/03/29 06:00,NA,1,25,bmc plant biology,doi: 10.1186/s12870-014-0405-1,2015 Jan 21;15:9,52,bmc plant biol,1471-2229,9876,3.964,3.841,4.541,0.706,255,4.8,8.7,0.02306,1.205,98.820,89.387,2.64439
GSE64455,2015-07-23,GSE64455_cuffdiff_out.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,26238124,2015 Aug 24,2015 Aug 3,J Exp Med,Inoue TMorita MHijikata AFukuda-Yuzawa YAdachi SIsono KIkawa TKawamoto HKoseki HNatsume TFukao TOhara OYamamoto TKurosaki T,Kurosaki T,CNOT3 contributes to early B cell development by controlling Igh rearrangement and p53 mRNA stability.,212,9,1465-79,English,2985109R,0022-1007,1540-9538,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,26238124jem.2015038410.1084/jem.20150384PMC45480562623812426238124pmc-id: PMC4548056;,10.1084/jem.20150384,2015/03/03 00:002015/07/16 00:002015/08/05 06:002015/08/05 06:002015/11/07 06:00,NA,1,12,the journal of experimental medicine,doi: 10.1084/jem.20150384,2015 Aug 24;212(9):1465-79,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64513,2015-12-24,GSE64513_FOXD3_vs_Control_gene_exp_diff_anno.txt.gz,anti-conservative,0.6066927256435322,0.8081553055657877,205.35000000000002,3153.1391479607555,926.1967927256428,NA,NA,NA,NA,NA,NA,NA,NA,0.7359289531593839,0.568092328581127,205.35000000000002,2871.33720009431,1400.0166666666664,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64544,2015-05-29,GSE64544_LV_processed.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Canis lupus familiaris,26154239,2015 Aug,2015 Jul 8,OMICS,Li QFreeman LMRush JEHuggins GSKennedy ADLabuda JALaflamme DPHannah SS,Hannah SS,Veterinary Medicine and Multi-Omics Research for Future Nutrition Targets: Metabolomics and Transcriptomics of the Common Degenerative Mitral Valve Disease in Dogs.,19,8,461-70,English,101131135,1536-2310,1557-8100,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2615423910.1089/omi.2015.00572615423926154239,10.1089/omi.2015.0057,2015/07/09 06:002015/07/15 06:002016/04/30 06:00,NA,1,5,omics : a journal of integrative biology,doi: 10.1089/omi.2015.0057,2015 Aug;19(8):461-70,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64544,2015-05-29,GSE64544_MV_processed.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Canis lupus familiaris,26154239,2015 Aug,2015 Jul 8,OMICS,Li QFreeman LMRush JEHuggins GSKennedy ADLabuda JALaflamme DPHannah SS,Hannah SS,Veterinary Medicine and Multi-Omics Research for Future Nutrition Targets: Metabolomics and Transcriptomics of the Common Degenerative Mitral Valve Disease in Dogs.,19,8,461-70,English,101131135,1536-2310,1557-8100,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2615423910.1089/omi.2015.00572615423926154239,10.1089/omi.2015.0057,2015/07/09 06:002015/07/15 06:002016/04/30 06:00,NA,1,5,omics : a journal of integrative biology,doi: 10.1089/omi.2015.0057,2015 Aug;19(8):461-70,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64641,2016-12-01,GSE64641_leaf_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Zea mays,27531446,2016 Dec,2016 Oct 14,Plant J,Su HLiu YLiu YXLv ZLi HXie SGao ZPang JWang XJLai JBirchler JAHan F,Han F,Dynamic chromatin changes associated with de novo centromere formation in maize euchromatin.,88,5,854-866,English,9207397,0960-7412,1365-313X,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2753144610.1111/tpj.133052753144627531446,10.1111/tpj.13305,2016/03/07 00:002016/07/21 00:002016/08/11 00:002016/08/18 06:002017/11/08 06:002016/08/18 06:00,NA,1,3,the plant journal : for cell and molecular biology,doi: 10.1111/tpj.13305,2016 Dec;88(5):854-866,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64641,2016-12-01,GSE64641_seedling_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Zea mays,27531446,2016 Dec,2016 Oct 14,Plant J,Su HLiu YLiu YXLv ZLi HXie SGao ZPang JWang XJLai JBirchler JAHan F,Han F,Dynamic chromatin changes associated with de novo centromere formation in maize euchromatin.,88,5,854-866,English,9207397,0960-7412,1365-313X,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2753144610.1111/tpj.133052753144627531446,10.1111/tpj.13305,2016/03/07 00:002016/07/21 00:002016/08/11 00:002016/08/18 06:002017/11/08 06:002016/08/18 06:00,NA,1,3,the plant journal : for cell and molecular biology,doi: 10.1111/tpj.13305,2016 Dec;88(5):854-866,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64687,2015-10-22,GSE64687_FPKM_and_differential_expression_for_mRNA.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,26549197,2015 Nov 9,2015 Nov 9,Sci Rep,Smith NLWissink EMGrimson ARudd BD,Rudd BD,miR-150 Regulates Differentiation and Cytolytic Effector Function in CD8+ T cells.,5,NA,16399,English,101563288,NA,2045-2322,Journal Article,PubMed - indexed for MEDLINE,epublish,26549197srep1639910.1038/srep16399PMC46378752654919726549197pmc-id: PMC4637875;,10.1038/srep16399,2015/07/08 00:002015/10/14 00:002015/11/10 06:002015/11/10 06:002016/09/10 06:00,NA,1,13,scientific reports,doi: 10.1038/srep16399,2015 Nov 9;5:16399,23,sci rep-uk,2045-2322,101255,4.259,3.781,4.847,0.647,20517,2.0,7.1,0.38736,1.484,99.790,85.156,44.41661
GSE64747,2016-01-14,GSE64747_deseq_comp_DMSO_minus_TEX_vs_compound59_minus_TEX_with_annot_and_counts.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Staphylococcus aureus,26748534,2016 Jan 26,2016 Jan 8,Chemistry,Vomacka JKorotkov VSBauer BWeinandy FKunzmann MHKrysiak JBaron OBöttcher TLorenz-Baath KSieber SA,Sieber SA,An Aromatic Hydroxyamide Attenuates Multiresistant Staphylococcus aureus Toxin Expression.,22,5,1622-30,English,9513783,0947-6539,1521-3765,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2674853410.1002/chem.2015039812674853426748534,10.1002/chem.201503981,2015/10/05 00:002016/01/11 06:002016/01/11 06:002016/07/02 06:00,NA,1,2,"chemistry (weinheim an der bergstrasse, germany)",doi: 10.1002/chem.201503981,2016 Jan 26;22(5):1622-30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64757,2015-01-16,GSE64757_All_FPKMs_GEO.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,25596527,2015 Mar 6,2015 Jan 16,J Biol Chem,Buchner DACharrier ASrinivasan EWang LPaulsen MTLjungman MBridges DSaltiel AR,Saltiel AR,Zinc finger protein 407 (ZFP407) regulates insulin-stimulated glucose uptake and glucose transporter 4 (Glut4) mRNA.,290,10,6376-86,English,2985121R,0021-9258,1083-351X,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,25596527M114.62373610.1074/jbc.M114.623736PMC43582732559652725596527pmc-id: PMC4358273;,10.1074/jbc.M114.623736,2015/01/18 06:002015/01/18 06:002015/05/20 06:00,NA,1,5,the journal of biological chemistry,doi: 10.1074/jbc.M114.623736,2015 Mar 6;290(10):6376-86,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64840,2015-02-21,GSE64840_2N_Ts65Dn_MEFs.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64854,2016-01-15,GSE64854_cds_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_cds.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_promoters.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE64854,2016-01-15,GSE64854_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,26288179,2015,2015 Aug 19,PLoS One,Gomez DLO'Driscoll MSheets TPHruban RHOberholzer JMcGarrigle JJShamblott MJ,Shamblott MJ,Neurogenin 3 Expressing Cells in the Human Exocrine Pancreas Have the Capacity for Endocrine Cell Fate.,10,8,e0133862,English,101285081,NA,1932-6203,Journal Article,PubMed - indexed for MEDLINE,NA,2628817910.1371/journal.pone.0133862PONE-D-15-21953PMC45459472628817926288179pmc-id: PMC4545947;,10.1371/journal.pone.0133862,2015/05/20 00:002015/07/02 00:002015/08/20 06:002015/08/20 06:002016/05/12 06:00,NA,1,8,plos one,doi: 10.1371/journal.pone.0133862,2015;10(8):e0133862,18,plos one,1932-6203,508248,2.806,2.615,3.394,0.429,22077,3.7,8.1,1.92176,1.053,98.240,77.344,220.54971
GSE65022,2015-01-16,GSE65022_cuffdiff-WT_CD_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Oryza sativa Japonica Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65024,2015-01-16,GSE65024_WT-bhlh_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Oryza sativa Japonica Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65025,2015-01-16,GSE65025_WT-HSF_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Oryza sativa Japonica Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65039,2015-04-01,GSE65039_gene_exp1.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65072,2015-11-02,GSE65072_DESeq_plusDOX_minusDOX.xlsx,anti-conservative,0.6213279019900341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9187143761874603,0.5681780889350763,381.75,6663.665049081696,641.7500000000009,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,26516211,2016 Jan 4,2015 Oct 29,EMBO J,Pataskar AJung JSmialowski PNoack FCalegari FStraub TTiwari VK,Tiwari VK,NeuroD1 reprograms chromatin and transcription factor landscapes to induce the neuronal program.,35,1,24-45,English,8208664,0261-4189,1460-2075,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,26516211embj.20159120610.15252/embj.201591206PMC47180032651621126516211pmc-id: PMC4718003;,10.15252/embj.201591206,2015/02/06 00:002015/09/14 00:002015/10/31 06:002015/11/01 06:002016/05/03 06:00,EMBO J. 2016 Jan 4;35(1):1-3. PMID: 26567170,1,28,the embo journal,doi: 10.15252/embj.201591206,2016 Jan 4;35(1):24-45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65142,2016-01-21,GSE65142_HYBP.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Raphanus sativus,26751440,2016 Jan 6,2016 Jan 6,Int J Mol Sci,Mei SLiu TWang Z,Wang Z,Comparative Transcriptome Profile of the Cytoplasmic Male Sterile and Fertile Floral Buds of Radish (Raphanus sativus L.).,17,1,NA,English,101092791,NA,1422-0067,Journal Article,PubMed - indexed for MEDLINE,epublish,26751440ijms1701004210.3390/ijms17010042PMC47302872675144026751440pmc-id: PMC4730287;,10.3390/ijms17010042,2015/10/27 00:002015/12/22 00:002015/12/23 00:002016/01/12 06:002016/01/12 06:002016/10/26 06:00,NA,1,7,international journal of molecular sciences,pii: E42. doi: 10.3390/ijms17010042,2016 Jan 6;17(1),16,int j mol sci,1422-0067,25928,3.226,3.047,3.482,0.507,2117,3.3,7.1,0.07148,0.806,69.060,63.799,8.20152
GSE65142,2016-01-21,GSE65142_YH.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Raphanus sativus,26751440,2016 Jan 6,2016 Jan 6,Int J Mol Sci,Mei SLiu TWang Z,Wang Z,Comparative Transcriptome Profile of the Cytoplasmic Male Sterile and Fertile Floral Buds of Radish (Raphanus sativus L.).,17,1,NA,English,101092791,NA,1422-0067,Journal Article,PubMed - indexed for MEDLINE,epublish,26751440ijms1701004210.3390/ijms17010042PMC47302872675144026751440pmc-id: PMC4730287;,10.3390/ijms17010042,2015/10/27 00:002015/12/22 00:002015/12/23 00:002016/01/12 06:002016/01/12 06:002016/10/26 06:00,NA,1,7,international journal of molecular sciences,pii: E42. doi: 10.3390/ijms17010042,2016 Jan 6;17(1),16,int j mol sci,1422-0067,25928,3.226,3.047,3.482,0.507,2117,3.3,7.1,0.07148,0.806,69.060,63.799,8.20152
GSE65321,2015-10-29,GSE65321_RNASeqProcessedDESeqData_GSM1631482-GSM1631483.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65321,2015-10-29,GSE65321_RNASeqProcessedDESeqData.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
