Accession,annot,organism,taxid,organism2,taxid2
GSE53952,GPL11221,Arabidopsis thaliana,3702,NA,NA
GSE53952,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE53964,GPL11154,Homo sapiens,9606,NA,NA
GSE53976,GPL13797,Gallus gallus,9031,NA,NA
GSE53983,GPL11154,Homo sapiens,9606,NA,NA
GSE53983,GPL13112,Mus musculus,10090,NA,NA
GSE53993,GPL11154,Homo sapiens,9606,NA,NA
GSE53993,GPL18160,Homo sapiens,9606,NA,NA
GSE53995,GPL15463,Zea mays,4577,NA,NA
GSE54006,GPL13112,Mus musculus,10090,NA,NA
GSE54016,GPL13112,Mus musculus,10090,NA,NA
GSE54066,GPL11154,Homo sapiens,9606,NA,NA
GSE54093,GPL11429,Sus scrofa,9823,NA,NA
GSE54098,GPL13112,Mus musculus,10090,NA,NA
GSE54107,GPL13112,Mus musculus,10090,NA,NA
GSE54112,GPL11154,Homo sapiens,9606,NA,NA
GSE54113,GPL13112,Mus musculus,10090,NA,NA
GSE54124,GPL13112,Mus musculus,10090,NA,NA
GSE54133,GPL13112,Mus musculus,10090,NA,NA
GSE54136,GPL11154,Homo sapiens,9606,NA,NA
GSE54153,GPL17415,Populus trichocarpa,3694,NA,NA
GSE54166,GPL15463,Zea mays,4577,NA,NA
GSE54173,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE54182,GPL18186,Populus cathayana,688333,NA,NA
GSE54199,GPL14548,Escherichia coli,562,NA,NA
GSE54199,GPL18183,Streptococcus pneumoniae,1313,NA,NA
GSE54226,GPL13112,Mus musculus,10090,NA,NA
GSE54240,GPL17280,Mycobacterium tuberculosis H37Rv,83332,NA,NA
GSE54246,GPL13112,Mus musculus,10090,NA,NA
GSE54272,GPL9361,Zea mays,4577,NA,NA
GSE54274,GPL13160,Oryza sativa,4530,NA,NA
GSE54274,GPL15463,Zea mays,4577,NA,NA
GSE54286,GPL9250,Mus musculus,10090,NA,NA
GSE54302,GPL13112,Mus musculus,10090,NA,NA
GSE54308,GPL11154,Homo sapiens,9606,NA,NA
GSE54322,GPL11154,Homo sapiens,9606,NA,NA
GSE54339,GPL18199,Flaveria angustifolia,163088,NA,NA
GSE54339,GPL18200,Flaveria bidentis,4224,NA,NA
GSE54339,GPL18201,Flaveria brownii,33111,NA,NA
GSE54339,GPL18202,Flaveria cronquistii,29717,NA,NA
GSE54339,GPL18203,Flaveria kochiana,343901,NA,NA
GSE54339,GPL18204,Flaveria palmeri,35879,NA,NA
GSE54339,GPL18205,Flaveria pringlei,4226,NA,NA
GSE54339,GPL18206,Flaveria pubescens,35880,NA,NA
GSE54339,GPL18207,Flaveria sonorensis,343904,NA,NA
GSE54339,GPL18208,Flaveria trinervia,4227,NA,NA
GSE54339,GPL18209,Flaveria vaginata,243343,NA,NA
GSE54339,GPL18210,Helenium autumnale,138408,NA,NA
GSE54339,GPL18211,Tanacetum parthenium,127999,NA,NA
GSE54339,GPL18212,Tragopogon dubius,45322,NA,NA
GSE54364,GPL18214,Amphimedon queenslandica,400682,NA,NA
GSE54384,GPL11154,Homo sapiens,9606,NA,NA
GSE54390,GPL13112,Mus musculus,10090,NA,NA
GSE54409,GPL11154,Homo sapiens,9606,NA,NA
GSE54413,GPL10669,Rattus norvegicus,10116,NA,NA
GSE54413,GPL10999,Homo sapiens,9606,NA,NA
GSE54416,GPL11154,Homo sapiens,9606,NA,NA
GSE54433,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE54440,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE54443,GPL11002,Mus musculus,10090,NA,NA
GSE54443,GPL13112,Mus musculus,10090,NA,NA
GSE54447,GPL13112,Mus musculus,10090,NA,NA
GSE54462,GPL11002,Mus musculus,10090,NA,NA
GSE54473,GPL13112,Mus musculus,10090,NA,NA
GSE54473,GPL17021,Mus musculus,10090,NA,NA
GSE54505,GPL11154,Homo sapiens,9606,NA,NA
GSE54511,GPL10999,Homo sapiens,9606,NA,NA
GSE54511,GPL11154,Homo sapiens,9606,NA,NA
GSE54560,GPL18238,Arabis alpina,50452,NA,NA
GSE54569,GPL13112,Mus musculus,10090,NA,NA
GSE54588,GPL13112,Mus musculus,10090,NA,NA
GSE54600,GPL11203,Drosophila melanogaster,7227,NA,NA
GSE54602,GPL10999,Homo sapiens,9606,NA,NA
GSE54619,GPL13112,Mus musculus,10090,NA,NA
GSE54631,GPL11002,Mus musculus,10090,NA,NA
GSE54631,GPL9250,Mus musculus,10090,NA,NA
GSE54640,GPL15103,Mus musculus,10090,NA,NA
GSE54641,GPL11154,Homo sapiens,9606,NA,NA
GSE54651,GPL13112,Mus musculus,10090,NA,NA
GSE54673,GPL14844,Rattus norvegicus,10116,NA,NA
GSE54694,GPL18251,Candida albicans,5476,NA,NA
GSE54695,GPL17021,Mus musculus,10090,NA,NA
GSE54724,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE54727,GPL16940,Arabidopsis lyrata,59689,NA,NA
GSE54729,GPL11154,Homo sapiens,9606,NA,NA
GSE54729,GPL13112,Mus musculus,10090,NA,NA
GSE54734,GPL10999,Homo sapiens,9606,NA,NA
GSE54748,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE54760,GPL11154,Homo sapiens,9606,NA,NA
GSE54791,GPL11154,Homo sapiens,9606,NA,NA
GSE54791,GPL16791,Homo sapiens,9606,NA,NA
GSE54794,GPL13112,Mus musculus,10090,NA,NA
GSE54795,GPL13112,Mus musculus,10090,NA,NA
GSE54805,GPL17258,Monodelphis domestica,13616,NA,NA
GSE54819,GPL18268,Junonia coenia,39708,NA,NA
GSE54819,GPL18269,Junonia coenia,39708,NA,NA
GSE54825,GPL9377,Saccharomyces cerevisiae,4932,NA,NA
GSE54826,GPL9250,Mus musculus,10090,NA,NA
GSE54831,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE54846,GPL16791,Homo sapiens,9606,NA,NA
GSE54853,GPL13112,Mus musculus,10090,NA,NA
GSE54853,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE54877,GPL13112,Mus musculus,10090,NA,NA
GSE54878,GPL11154,Homo sapiens,9606,NA,NA
GSE54900,GPL17439,Escherichia coli str. K-12 substr. MG1655,511145,NA,NA
GSE54903,GPL11192,Glycine max,3847,NA,NA
GSE54903,GPL15008,Glycine max,3847,NA,NA
GSE54906,GPL10999,Homo sapiens,9606,NA,NA
GSE54906,GPL13766,Macaca mulatta,9544,NA,NA
GSE54906,GPL13802,Pan troglodytes,9598,NA,NA
GSE54912,GPL10999,Homo sapiens,9606,NA,NA
GSE54927,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE54932,GPL11002,Mus musculus,10090,NA,NA
GSE54968,GPL11154,Homo sapiens,9606,NA,NA
GSE54973,GPL13112,Mus musculus,10090,NA,NA
GSE54982,GPL13112,Mus musculus,10090,NA,NA
GSE54984,GPL11002,Mus musculus,10090,NA,NA
GSE54984,GPL13112,Mus musculus,10090,NA,NA
GSE54987,GPL18285,Bacillus amyloliquefaciens,1390,NA,NA
GSE54998,GPL18286,Pseudomonas aeruginosa,287,NA,NA
GSE54998,GPL18287,Pseudomonas aeruginosa,287,NA,NA
GSE55008,GPL11154,Homo sapiens,9606,NA,NA
GSE55023,GPL18020,Callithrix jacchus,9483,NA,NA
GSE55035,GPL18289,Bombus terrestris,30195,NA,NA
GSE55048,GPL9115,Homo sapiens,9606,NA,NA
GSE55086,GPL18295,Aspergillus fumigatus,746128,NA,NA
GSE55090,GPL13112,Mus musculus,10090,NA,NA
GSE55113,GPL17021,Mus musculus,10090,NA,NA
GSE55131,GPL13112,Mus musculus,10090,NA,NA
GSE55163,GPL13112,Mus musculus,10090,NA,NA
GSE55182,GPL18303,Streptococcus pneumoniae,1313,NA,NA
GSE55185,GPL17712,Callithrix jacchus,9483,NA,NA
GSE55185,GPL18304,Callithrix jacchus,9483,NA,NA
GSE55188,GPL13112,Mus musculus,10090,NA,NA
GSE55190,GPL13112,Mus musculus,10090,NA,NA
GSE55193,GPL15433,Homo sapiens,9606,NA,NA
GSE55195,GPL11154,Homo sapiens,9606,NA,NA
GSE55195,GPL15520,Homo sapiens,9606,NA,NA
GSE55225,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE55253,GPL15922,Chlamydomonas reinhardtii,3055,NA,NA
GSE55275,GPL11154,Homo sapiens,9606,NA,NA
GSE55280,GPL13112,Mus musculus,10090,NA,NA
GSE55282,GPL11154,Homo sapiens,9606,NA,NA
GSE55292,GPL18322,Yersinia pseudotuberculosis YPIII,502800,NA,NA
GSE55296,GPL16288,Homo sapiens,9606,NA,NA
GSE55310,GPL15907,Mus musculus,10090,NA,NA
GSE55316,GPL18330,Saccharomyces cerevisiae BY4741,1247190,NA,NA
GSE55326,GPL11154,Homo sapiens,9606,NA,NA
GSE55328,GPL18286,Pseudomonas aeruginosa,287,NA,NA
GSE55328,GPL18287,Pseudomonas aeruginosa,287,NA,NA
GSE55329,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE55338,GPL13112,Mus musculus,10090,NA,NA
GSE55338,GPL9250,Mus musculus,10090,NA,NA
GSE55343,GPL11154,Homo sapiens,9606,NA,NA
GSE55343,GPL9115,Homo sapiens,9606,NA,NA
GSE55370,GPL11154,Homo sapiens,9606,NA,NA
GSE55377,GPL16173,Mus musculus,10090,NA,NA
GSE55385,GPL13112,Mus musculus,10090,NA,NA
GSE55394,GPL17021,Mus musculus,10090,NA,NA
GSE55409,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE55423,GPL13112,Mus musculus,10090,NA,NA
GSE55435,GPL11153,Bos taurus,9913,NA,NA
GSE55435,GPL15749,Bos taurus,9913,NA,NA
GSE55458,GPL11154,Homo sapiens,9606,NA,NA
GSE55477,GPL18357,Fusarium graminearum PH-1,229533,NA,NA
GSE55480,GPL11002,Mus musculus,10090,NA,NA
GSE55502,GPL15433,Homo sapiens,9606,NA,NA
GSE55502,GPL9115,Homo sapiens,9606,NA,NA
GSE55504,GPL11154,Homo sapiens,9606,NA,NA
GSE55504,GPL13112,Mus musculus,10090,NA,NA
GSE55504,GPL16791,Homo sapiens,9606,NA,NA
GSE55528,GPL18362,Pseudomonas aeruginosa MPAO1/P1,1131757,NA,NA
GSE55528,GPL18363,Staphylococcus aureus subsp. aureus str. Newman,426430,NA,NA
GSE55536,GPL11154,Homo sapiens,9606,NA,NA
GSE55552,GPL13112,Mus musculus,10090,NA,NA
GSE55553,GPL16345,Solanum lycopersicum,4081,NA,NA
GSE55553,GPL18373,Solanum lycopersicum,4081,NA,NA
GSE55567,GPL10999,Homo sapiens,9606,NA,NA
GSE55581,GPL17021,Mus musculus,10090,NA,NA
GSE55596,GPL13112,Mus musculus,10090,NA,NA
GSE55621,GPL17021,Mus musculus,10090,NA,NA
GSE55632,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE55633,GPL13112,Mus musculus,10090,NA,NA
GSE55648,GPL18383,Aspergillus fumigatus CEA10,505235,NA,NA
GSE55663,GPL18295,Aspergillus fumigatus,746128,NA,NA
GSE55674,GPL11429,Sus scrofa,9823,NA,NA
GSE55682,GPL13112,Mus musculus,10090,NA,NA
GSE55683,GPL17966,Limonium bicolor,293754,NA,NA
GSE55689,GPL11154,Homo sapiens,9606,NA,NA
GSE55700,GPL18394,Ficus obtusifolia,309290,NA,NA
GSE55727,GPL11154,Homo sapiens,9606,NA,NA
GSE55727,GPL13112,Mus musculus,10090,NA,NA
GSE55727,GPL9115,Homo sapiens,9606,NA,NA
GSE55727,GPL9250,Mus musculus,10090,NA,NA
GSE55743,GPL18295,Aspergillus fumigatus,746128,NA,NA
GSE55744,GPL13112,Mus musculus,10090,NA,NA
GSE55754,GPL11002,Mus musculus,10090,NA,NA
GSE55758,GPL9052,Homo sapiens,9606,NA,NA
GSE55769,GPL11154,Homo sapiens,9606,NA,NA
GSE55782,GPL13112,Mus musculus,10090,NA,NA
GSE55797,GPL13112,Mus musculus,10090,NA,NA
GSE55798,GPL11002,Mus musculus,10090,NA,NA
GSE55831,GPL11002,Mus musculus,10090,NA,NA
GSE55831,GPL13112,Mus musculus,10090,NA,NA
GSE55870,GPL15907,Mus musculus,10090,NA,NA
GSE55922,GPL11154,Homo sapiens,9606,NA,NA
GSE55939,GPL11154,Homo sapiens,9606,NA,NA
GSE55943,GPL18295,Aspergillus fumigatus,746128,NA,NA
GSE55988,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE55990,GPL16216,Bombyx mori,7091,NA,NA
GSE56000,GPL13741,Xenopus tropicalis,8364,NA,NA
GSE56000,GPL15472,Xenopus tropicalis,8364,NA,NA
GSE56010,GPL11154,Homo sapiens,9606,NA,NA
GSE56013,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE56052,GPL16791,Homo sapiens,9606,NA,NA
GSE56058,GPL18445,Deinococcus deserti,310783,NA,NA
GSE56060,GPL18446,Kluyveromyces lactis,28985,NA,NA
GSE56066,GPL11154,Homo sapiens,9606,NA,NA
GSE56076,GPL11154,Homo sapiens,9606,NA,NA
GSE56097,GPL17296,Cavia porcellus,10141,NA,NA
GSE56117,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE56122,GPL13112,Mus musculus,10090,NA,NA
GSE56132,GPL18457,Thalassiosira pseudonana,35128,NA,NA
GSE56132,GPL18458,Fragilariopsis cylindrus,186039,NA,NA
GSE56132,GPL18459,Pseudo-nitzschia multiseries,37319,NA,NA
GSE56144,GPL16791,Homo sapiens,9606,NA,NA
GSE56144,GPL9115,Homo sapiens,9606,NA,NA
GSE56148,GPL11154,Homo sapiens,9606,NA,NA
GSE56152,GPL11154,Homo sapiens,9606,NA,NA
GSE56158,GPL16558,Homo sapiens,9606,NA,NA
GSE56169,GPL15472,Xenopus tropicalis,8364,NA,NA
GSE56169,GPL9320,Xenopus tropicalis,8364,NA,NA
GSE56174,GPL15645,Candida albicans,5476,NA,NA
GSE56175,GPL13112,Mus musculus,10090,NA,NA
GSE56176,GPL14875,Danio rerio,7955,NA,NA
GSE56179,GPL16558,Homo sapiens,9606,NA,NA
GSE56185,GPL9250,Mus musculus,10090,NA,NA
GSE56235,GPL11154,Homo sapiens,9606,NA,NA
GSE56238,GPL18469,Rattus norvegicus,10116,NA,NA
GSE56242,GPL13741,Xenopus tropicalis,8364,NA,NA
GSE56242,GPL18470,Xenopus tropicalis,8364,NA,NA
GSE56253,GPL13112,Mus musculus,10090,NA,NA
GSE56276,GPL13112,Mus musculus,10090,NA,NA
GSE56278,GPL18475,Acropora hyacinthus complex sp. E JTL-2012,1167706,NA,NA
GSE56284,GPL17021,Mus musculus,10090,NA,NA
GSE56292,GPL18480,Mus musculus,10090,NA,NA
GSE56294,GPL16057,Staphylococcus aureus,1280,NA,NA
GSE56294,GPL18481,Staphylococcus aureus,1280,NA,NA
GSE56295,GPL18482,Chlamydomonas reinhardtii,3055,NA,NA
GSE56297,GPL15008,Glycine max,3847,NA,NA
GSE56333,GPL16436,Solanum tuberosum,4113,NA,NA
GSE56343,GPL16791,Homo sapiens,9606,NA,NA
GSE56346,GPL18499,Phaeodactylum tricornutum,2850,NA,NA
GSE56356,GPL17303,Homo sapiens,9606,NA,NA
GSE56367,GPL13112,Mus musculus,10090,NA,NA
GSE56372,GPL14548,Escherichia coli,562,NA,NA
GSE56398,GPL16791,Homo sapiens,9606,NA,NA
GSE56436,GPL18516,Trypanosoma brucei,5691,NA,NA
GSE56439,GPL18517,Arachis hypogaea,3818,NA,NA
GSE56446,GPL13112,Mus musculus,10090,NA,NA
GSE56459,GPL17914,Zea mays subsp. mays,381124,NA,NA
GSE56460,GPL18523,Zea mays subsp. mays,381124,NA,NA
GSE56461,GPL13112,Mus musculus,10090,NA,NA
GSE56462,GPL13834,Oryza sativa Japonica Group,39947,NA,NA
GSE56463,GPL18525,Oryza sativa Japonica Group,39947,NA,NA
GSE56474,GPL18526,Rhodococcus erythropolis PR4,234621,NA,NA
GSE56505,GPL15083,Chlamydomonas reinhardtii,3055,NA,NA
GSE56507,GPL13112,Mus musculus,10090,NA,NA
GSE56524,GPL16288,Homo sapiens,9606,NA,NA
GSE56545,GPL15433,Homo sapiens,9606,NA,NA
GSE56575,GPL13112,Mus musculus,10090,NA,NA
GSE56586,GPL17682,Xenopus laevis,8355,NA,NA
GSE56613,GPL13112,Mus musculus,10090,NA,NA
GSE56622,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE56622,GPL9377,Saccharomyces cerevisiae,4932,NA,NA
GSE56623,GPL16791,Homo sapiens,9606,NA,NA
GSE56636,GPL15103,Mus musculus,10090,NA,NA
GSE56665,GPL11203,Drosophila melanogaster,7227,NA,NA
GSE56675,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE56675,GPL16380,Arabidopsis thaliana x Arabidopsis arenosa,1240361,NA,NA
GSE56689,GPL11154,Homo sapiens,9606,NA,NA
GSE56690,GPL13112,Mus musculus,10090,NA,NA
GSE56691,GPL11154,Homo sapiens,9606,NA,NA
GSE56743,GPL14844,Rattus norvegicus,10116,NA,NA
GSE56746,GPL18566,Ixodes ricinus,34613,NA,NA
GSE56746,GPL18567,Ixodes ricinus,34613,NA,NA
GSE56748,GPL16791,Homo sapiens,9606,NA,NA
GSE56761,GPL18570,Schizosaccharomyces pombe,4896,NA,NA
GSE56785,GPL11154,Homo sapiens,9606,NA,NA
GSE56785,GPL16791,Homo sapiens,9606,NA,NA
GSE56787,GPL16791,Homo sapiens,9606,NA,NA
GSE56788,GPL11154,Homo sapiens,9606,NA,NA
GSE56796,GPL11154,Homo sapiens,9606,NA,NA
GSE56811,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE56826,GPL10999,Homo sapiens,9606,NA,NA
GSE56826,GPL11154,Homo sapiens,9606,NA,NA
GSE56830,GPL18577,Acyrthosiphon pisum,7029,NA,NA
GSE56845,GPL13766,Macaca mulatta,9544,NA,NA
GSE56855,GPL18582,Salmo trutta,8032,NA,NA
GSE56882,GPL11154,Homo sapiens,9606,NA,NA
GSE56888,GPL16133,Gallus gallus,9031,NA,NA
GSE56890,GPL13112,Mus musculus,10090,NA,NA
GSE56893,GPL11002,Mus musculus,10090,NA,NA
GSE56893,GPL13112,Mus musculus,10090,NA,NA
GSE56902,GPL13112,Mus musculus,10090,NA,NA
GSE56904,GPL17021,Mus musculus,10090,NA,NA
GSE56905,GPL17021,Mus musculus,10090,NA,NA
GSE56922,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE56924,GPL11154,Homo sapiens,9606,NA,NA
GSE56933,GPL11002,Mus musculus,10090,NA,NA
GSE56961,GPL11154,Homo sapiens,9606,NA,NA
GSE56966,GPL17021,Mus musculus,10090,NA,NA
GSE56977,GPL13112,Mus musculus,10090,NA,NA
GSE56982,GPL18598,Ictalurus punctatus,7998,NA,NA
GSE56982,GPL18599,Ictalurus punctatus x Ictalurus furcatus,1491728,NA,NA
GSE56983,GPL13112,Mus musculus,10090,NA,NA
GSE57009,GPL10999,Homo sapiens,9606,NA,NA
GSE57027,GPL11154,Homo sapiens,9606,NA,NA
GSE57031,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE57043,GPL13112,Mus musculus,10090,NA,NA
GSE57049,GPL11154,Homo sapiens,9606,NA,NA
GSE57049,GPL9115,Homo sapiens,9606,NA,NA
GSE57073,GPL11154,Homo sapiens,9606,NA,NA
GSE57093,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE57096,GPL9115,Homo sapiens,9606,NA,NA
GSE57116,GPL16791,Homo sapiens,9606,NA,NA
GSE57125,GPL16417,Mus musculus,10090,NA,NA
GSE57134,GPL16133,Gallus gallus,9031,NA,NA
GSE57134,GPL9385,Gallus gallus,9031,NA,NA
GSE57142,GPL18616,Chlorostoma funebralis,80350,NA,NA
GSE57148,GPL11154,Homo sapiens,9606,NA,NA
GSE57152,GPL16288,Homo sapiens,9606,NA,NA
GSE57155,GPL18621,Saccharomyces cerevisiae,4932,NA,NA
GSE57182,GPL11154,Homo sapiens,9606,NA,NA
GSE57202,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE57206,GPL13112,Mus musculus,10090,NA,NA
GSE57217,GPL14571,Cryptococcus neoformans,5207,NA,NA
GSE57226,GPL15553,Schmidtea mediterranea,79327,NA,NA
GSE57227,GPL11154,Homo sapiens,9606,NA,NA
GSE57231,GPL13112,Mus musculus,10090,NA,NA
GSE57231,GPL9250,Mus musculus,10090,NA,NA
GSE57233,GPL13112,Mus musculus,10090,NA,NA
GSE57235,GPL15335,Thermothelomyces thermophila,78579,NA,NA
GSE57238,GPL18633,Salmonella enterica subsp. enterica serovar Typhimurium,90371,NA,NA
GSE57243,GPL16791,Homo sapiens,9606,NA,NA
GSE57244,GPL18635,Mus musculus,10090,NA,NA
GSE57249,GPL13112,Mus musculus,10090,NA,NA
GSE57249,GPL17021,Mus musculus,10090,NA,NA
GSE57252,GPL15008,Glycine max,3847,NA,NA
GSE57253,GPL11154,Homo sapiens,9606,NA,NA
GSE57254,GPL11154,Homo sapiens,9606,NA,NA
GSE57272,GPL17021,Mus musculus,10090,NA,NA
GSE57278,GPL11154,Homo sapiens,9606,NA,NA
GSE57278,GPL16791,Homo sapiens,9606,NA,NA
GSE57278,GPL17021,Mus musculus,10090,NA,NA
GSE57282,GPL18621,Saccharomyces cerevisiae,4932,NA,NA
GSE57295,GPL10999,Homo sapiens,9606,NA,NA
GSE57295,GPL11154,Homo sapiens,9606,NA,NA
GSE57295,GPL13766,Macaca mulatta,9544,NA,NA
GSE57295,GPL14954,Macaca mulatta,9544,NA,NA
GSE57295,GPL17720,Macaca fascicularis,9541,NA,NA
GSE57295,GPL18648,Macaca fascicularis,9541,NA,NA
GSE57306,GPL18650,Mesorhizobium alhagi CCNWXJ12-2,1107882,NA,NA
GSE57325,GPL11154,Homo sapiens,9606,NA,NA
GSE57327,GPL15749,Bos taurus,9913,NA,NA
GSE57336,GPL10599,Trypanosoma brucei,5691,NA,NA
GSE57337,GPL17628,Zea mays,4577,NA,NA
GSE57344,GPL9052,Homo sapiens,9606,NA,NA
GSE57351,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE57351,GPL13776,Caenorhabditis elegans,6239,NA,NA
GSE57353,GPL11154,Homo sapiens,9606,NA,NA
GSE57364,GPL18275,Caulobacter vibrioides NA1000,565050,NA,NA
GSE57365,GPL18275,Caulobacter vibrioides NA1000,565050,NA,NA
GSE57374,GPL18110,Trichoderma reesei,51453,NA,NA
GSE57377,GPL14844,Rattus norvegicus,10116,NA,NA
GSE57385,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE57391,GPL13112,Mus musculus,10090,NA,NA
GSE57396,GPL13112,Mus musculus,10090,NA,NA
GSE57397,GPL11154,Homo sapiens,9606,NA,NA
GSE57423,GPL13112,Mus musculus,10090,NA,NA
GSE57428,GPL18661,Jatropha curcas,180498,NA,NA
GSE57430,GPL11154,Homo sapiens,9606,NA,NA
GSE57435,GPL13112,Mus musculus,10090,NA,NA
GSE57478,GPL11154,Homo sapiens,9606,NA,NA
GSE57480,GPL11154,Homo sapiens,9606,NA,NA
GSE57482,GPL14602,Mus musculus,10090,NA,NA
GSE57485,GPL18669,Papio cynocephalus,9556,NA,NA
GSE57487,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE57490,GPL18582,Salmo trutta,8032,NA,NA
GSE57503,GPL16791,Homo sapiens,9606,NA,NA
GSE57517,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE57533,GPL13112,Mus musculus,10090,NA,NA
GSE57567,GPL13112,Mus musculus,10090,NA,NA
GSE57579,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE57580,GPL18680,Cucumis melo,3656,NA,NA
GSE57586,GPL18678,Botrytis cinerea B05.10,332648,NA,NA
GSE57587,GPL20009,Vitis vinifera,29760,NA,NA
GSE57602,GPL17021,Mus musculus,10090,NA,NA
GSE57609,GPL17021,Mus musculus,10090,NA,NA
GSE57637,GPL11154,Homo sapiens,9606,NA,NA
GSE57644,GPL18689,Rhizopus microsporus,58291,NA,NA
GSE57652,GPL18692,Ruminiclostridium cellulolyticum,1521,NA,NA
GSE57670,GPL18696,Oryza sativa,4530,NA,NA
GSE57680,GPL18480,Mus musculus,10090,NA,NA
GSE57682,GPL13112,Mus musculus,10090,NA,NA
GSE57682,GPL17021,Mus musculus,10090,NA,NA
GSE57683,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE57707,GPL15370,Oryza sativa Japonica Group,39947,NA,NA
GSE57732,GPL16791,Homo sapiens,9606,NA,NA
GSE57776,GPL13112,Mus musculus,10090,NA,NA
GSE57803,GPL11154,Homo sapiens,9606,NA,NA
GSE57804,GPL13112,Mus musculus,10090,NA,NA
GSE57804,GPL9185,Mus musculus,10090,NA,NA
GSE57808,GPL18710,Candidatus Liberibacter solanacearum,556287,NA,NA
GSE57826,GPL11154,Homo sapiens,9606,NA,NA
GSE57849,GPL13112,Mus musculus,10090,NA,NA
GSE57862,GPL11154,Homo sapiens,9606,NA,NA
GSE57862,GPL15520,Homo sapiens,9606,NA,NA
GSE57866,GPL11154,Homo sapiens,9606,NA,NA
GSE57868,GPL18715,Mycobacterium tuberculosis CDC1551,83331,NA,NA
GSE57871,GPL16791,Homo sapiens,9606,NA,NA
GSE57872,GPL16791,Homo sapiens,9606,NA,NA
GSE57892,GPL11154,Homo sapiens,9606,NA,NA
GSE57892,GPL9115,Homo sapiens,9606,NA,NA
GSE57896,GPL11154,Homo sapiens,9606,NA,NA
GSE57925,GPL11154,Homo sapiens,9606,NA,NA
GSE57926,GPL13112,Mus musculus,10090,NA,NA
GSE57938,GPL16133,Gallus gallus,9031,NA,NA
GSE57941,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE57950,GPL13160,Oryza sativa,4530,NA,NA
GSE57953,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE57960,GPL15008,Glycine max,3847,NA,NA
GSE57967,GPL13112,Mus musculus,10090,NA,NA
GSE57973,GPL11154,Homo sapiens,9606,NA,NA
GSE57973,GPL18573,Homo sapiens,9606,NA,NA
GSE57974,GPL18726,Macaca fascicularis,9541,NA,NA
GSE57980,GPL13112,Mus musculus,10090,NA,NA
GSE57982,GPL11154,Homo sapiens,9606,NA,NA
GSE57984,GPL13112,Mus musculus,10090,NA,NA
GSE57989,GPL11154,Homo sapiens,9606,NA,NA
GSE57993,GPL18730,Caenorhabditis elegans,6239,NA,NA
GSE57998,GPL13112,Mus musculus,10090,NA,NA
GSE58008,GPL11154,Homo sapiens,9606,NA,NA
GSE58016,GPL13112,Mus musculus,10090,NA,NA
GSE58017,GPL13112,Mus musculus,10090,NA,NA
GSE58018,GPL13112,Mus musculus,10090,NA,NA
GSE58025,GPL17021,Mus musculus,10090,NA,NA
GSE58052,GPL18736,Nitrosomonas europaea,915,NA,NA
GSE58052,GPL18737,Nitrobacter winogradskyi,913,NA,NA
GSE58052,GPL18738,Nitrobacter winogradskyi,913,NA,NA
GSE58053,GPL18739,Nitrobacter winogradskyi,913,NA,NA
GSE58061,GPL18740,Vitis vinifera,29760,NA,NA
GSE58082,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE58111,GPL11154,Homo sapiens,9606,NA,NA
GSE58115,GPL18744,Streptomyces hygroscopicus subsp. jinggangensis 5008,1133850,NA,NA
GSE58122,GPL16791,Homo sapiens,9606,NA,NA
GSE58123,GPL11154,Homo sapiens,9606,NA,NA
GSE58123,GPL16791,Homo sapiens,9606,NA,NA
GSE58141,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE58141,GPL13776,Caenorhabditis elegans,6239,NA,NA
GSE58168,GPL11154,Homo sapiens,9606,NA,NA
