Accession,suppdata_id,instrument_model
GSE98266,GSE98266_Murano_DSS_d4_Cuffdiff_gene_differential_expression_testing_.txt.gz,Illumina MiSeq
GSE76663,GSE76663_cds.diff.gz,Illumina NextSeq 500
GSE85565,GSE85565_Result_Table.csv.gz,Illumina HiSeq 2500
GSE85627,GSE85627_mDUX-mESC.xlsx.gz-sheet-Transient,Illumina HiSeq 2500
GSE85627,GSE85627_mDUX-mESC.xlsx.gz-sheet-Unsorted,Illumina HiSeq 2500
GSE85627,GSE85627_mDUX-mESC.xlsx.gz-sheet-Sorted,Illumina HiSeq 2500
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_sp-DCs.csv.gz,Illumina HiSeq 2000
GSE81865,GSE81865_RNAseq_uninjured-14dpi.txt.gz,Illumina HiSeq 4000
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_HEAT_gene_exp.diff.gz,Illumina HiSeq 2000
GSE84450,GSE84450_WT_UTvsKO_UT_gene_exp.diff.gz,Illumina HiSeq 2500
GSE77077,GSE77077_HT_data_36hpf.xls.gz,Illumina Genome Analyzer II
GSE78506,GSE78506_dmso_vs_ca_24Hour_geneExp.diff.gz,Illumina HiSeq 2500
GSE70108,GSE70108_G340_CuffDiff_WTvsRORgko.tabular.txt.gz,Illumina HiSeq 2500
GSE67954,GSE67954_CSR1_RNAi_DESeq_output.txt.gz,Illumina HiSeq 2500
GSE66547,GSE66547_20150210-1545-2Cmut_vs_oocyteWt-deResults_gene.xls.gz,Illumina Genome Analyzer II
GSE63748,GSE63748_exp_7d4h_diff.txt.gz,Illumina Genome Analyzer II
GSE63707,GSE63707_DEXSeqResults_IFMWT_03d_vs_leg_0d.txt.gz,Illumina HiSeq 2000
GSE61566,GSE61566_gene_exp.diff.gz,Illumina HiSeq 2000
GSE61733,GSE61733_gene_exp.diff.gz,Illumina HiSeq 2000
GSE49097,GSE49097_Within_WT_gene_exp.diff.gz,Illumina HiSeq 2000
GSE55528,GSE55528_gene_exp_PA.diff.gz,Illumina HiSeq 2000
GSE55528,GSE55528_gene_exp_PA.diff.gz,Illumina HiSeq 2000
GSE46046,GSE46046_GenesTable.txt.gz,Illumina HiSeq 2000
GSE49700,GSE49700_FB_FLM.RNA.txt.gz,Illumina HiSeq 2000
GSE51645,GSE51645_DE_processed_data.txt.gz,Illumina Genome Analyzer II
GSE83360,GSE83360_mESC_V6.5_gene_differential_expression_testing_.tabular.txt.gz,Illumina HiSeq 2500
GSE110512,GSE110512_gene_exp.txt.gz,Illumina HiSeq 4000
GSE117632,GSE117632_Normoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz,Illumina HiSeq 4000
GSE119333,GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,Illumina HiSeq 2000
GSE106768,GSE106768_htl1d-YPGR_v_htl1d-YPD_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE103742,GSE103742_CUFFDIFF_PLZF_SFD.txt.gz,Illumina NextSeq 500
GSE106845,GSE106845_cds_exp.diff.txt.gz,Illumina HiSeq 2500
GSE107762,GSE107762_gene_exp.diff.txt.gz,Illumina HiSeq 2500
GSE105064,GSE105064_Treat_vs_control_diff.txt.gz,Illumina HiSeq 2500
GSE76663,GSE76663_cds_exp.diff.gz,Illumina NextSeq 500
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_t-DCs.csv.gz,Illumina HiSeq 2000
GSE87315,GSE87315_CuffDiff_RNA-seq.csv.gz,Illumina HiSeq 2000
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_SALT_HEAT_gene_exp.diff.gz,Illumina HiSeq 2000
GSE81522,GSE81522_N2_vs_ok600_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2000
GSE84450,GSE84450_WT_UTvsWT_DTT_gene_exp.diff.gz,Illumina HiSeq 2500
GSE60691,GSE60691_processed_data_aso_wild_type.txt.gz,Illumina HiSeq 2000
GSE67954,GSE67954_P_granule_RNAi_DESeq_output.txt.gz,Illumina HiSeq 2500
GSE66547,GSE66547_20150210-1545-2Cwt_vs_2Cmut-deResults_gene.xls.gz,Illumina Genome Analyzer II
GSE53789,GSE53789_WT_FACS_x_GFP_FACS-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE63707,GSE63707_DEXSeqResults_salm_ko_vs_IFMWT_03d.txt.gz,Illumina HiSeq 2000
GSE63226,GSE63226_WRR+vsWRR-.xls.gz,Illumina Genome Analyzer IIx
GSE61690,GSE61690_DormantvsNondormant_meristems.txt.gz,Illumina Genome Analyzer II
GSE59850,GSE59850_redgrn_early_cuffdiff_out.diff.txt.gz,Illumina HiSeq 2500
GSE55528,GSE55528_gene_exp_SA.diff.gz,Illumina HiSeq 2000
GSE55528,GSE55528_gene_exp_SA.diff.gz,Illumina HiSeq 2000
GSE83360,GSE83360_mESC_V6.5_transcript_differential_expression_testing_.tabular.txt.gz,Illumina HiSeq 2500
GSE111379,GSE111379_3chemos.80hrs.HeyA8.xlsx-sheet-All chemo samples.csv,Illumina HiSeq 4000
GSE118239,GSE118239_RS.gene_exp.diff.gz,Illumina HiSeq 2000
GSE98091,GSE98091_siHOTAIR-vs-siNC.diff.txt.gz,Illumina HiSeq 2000
GSE86909,GSE86909_control_vs_nfia.gene_exp.diff.gz,Illumina NextSeq 500
GSE76663,GSE76663_gene_exp.diff.gz,Illumina NextSeq 500
GSE89572,GSE89572_24h_DEGs.txt.gz,Illumina HiSeq 2000
GSE99397,GSE99397_CreNeg-MHCPos_vs_Control.CuffDiff.gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE83664,GSE83664_NS_M_vs_Input.isoform_exp.diff.gz,Illumina HiSeq 2000
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_mTECs.csv.gz,Illumina HiSeq 2000
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_SALT_gene_exp.diff.gz,Illumina HiSeq 2000
GSE84249,GSE84249_cuffdiff_gene_differential_expression_testing.tab.gz,Illumina HiSeq 2000
GSE84450,GSE84450_WT_UTvsWT_DTT_splicing.diff.gz,Illumina HiSeq 2500
GSE60691,GSE60691_processed_data_krkr_sumo_mut.txt.gz,Illumina HiSeq 2000
GSE73678,GSE73678_Differential_gene_expression.xlsx.gz,Illumina HiSeq 2500
GSE66547,GSE66547_20150210-1545-2Cwt_vs_oocyteWt-deResults_gene.xls.gz,Illumina Genome Analyzer II
GSE53789,GSE53789_WT_FACS_x_GFP_LCM-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE122483,GSE122483_ren_gene.description.txt.gz,Illumina HiSeq 2500
GSE103537,GSE103537_CD4low_GSE71645_diff.txt.gz,HiSeq X Ten
GSE113485,GSE113485_RWPE1_EMPTY_ERG_ERGshELF1.diff.gz,Illumina NextSeq 500
GSE100421,GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,Illumina HiSeq 2500
GSE86909,GSE86909_control_vs_nfia.isoform_exp.diff.gz,Illumina NextSeq 500
GSE83214,GSE83214_ENAP1ox_ein2_air_vs_C2H4_gene_exp.diff.gz,Illumina HiSeq 2000
GSE76663,GSE76663_isoform_exp.diff.gz,Illumina NextSeq 500
GSE89572,GSE89572_2h_DEGs.txt.gz,Illumina HiSeq 2000
GSE99397,GSE99397_CreNeg-MHCPos_vs_CrePos-MHCNeg.CuffDiff.gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE83664,GSE83664_NS_vs_Input.isoform_exp.diff.gz,Illumina HiSeq 2000
GSE79143,GSE79143_SNPCountsTable.txt.gz,Illumina HiSeq 2000
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_t-DCs.csv.gz,Illumina HiSeq 2000
GSE84308,GSE84308_RNA.txt.gz,Illumina HiSeq 2500
GSE84450,GSE84450_WT_UTvsX_DTT_gene_exp.diff.gz,Illumina HiSeq 2500
GSE68229,GSE68229_gene_exp.diff.gz,Illumina HiSeq 2000
GSE59571,GSE59571_S13113_genesdiff.xlsx,Illumina HiSeq 2000
GSE66547,GSE66547_20150828-oocyteMut_vs_oocyteWt-deResults.xlsx-sheet-Genes,Illumina Genome Analyzer II
GSE66547,GSE66547_20150828-oocyteMut_vs_oocyteWt-deResults.xlsx-sheet-Repeats,Illumina Genome Analyzer II
GSE53789,GSE53789_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE61566,GSE61566_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE59850,GSE59850_redgrn_late_cuffdiff_out.diff.txt.gz,Illumina HiSeq 2500
GSE49700,GSE49700_aza.repeats.txt.gz,Illumina HiSeq 2000
GSE101458,GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,Illumina HiSeq 2500
GSE109806,GSE109806_MockFHVvsRaltFHV_gene_exp.diff.gz,Illumina HiSeq 2500
GSE93102,GSE93102_D39_625AA_VS_D39_WT_UT.csv.gz,Illumina HiSeq 2500
GSE100421,GSE100421_WTvsOE_Cuffdiff_gene_exp.xlsx,Illumina HiSeq 2500
GSE106568,GSE106568_WT_vs_ibm1.txt.gz,BGISEQ-500
GSE102606,GSE102606_tail_siblings_mutants.txt.gz,Illumina NextSeq 500
GSE106985,GSE106985_Table_s1.xls.gz-sheet-D5.5MUT_D5.5WT.anno,Illumina HiSeq 2500
GSE106985,GSE106985_Table_s1.xls.gz-sheet-D7.5MUT_D5.5MUT.anno,Illumina HiSeq 2500
GSE106985,GSE106985_Table_s1.xls.gz-sheet-D7.5WT_D5.5WT.anno,Illumina HiSeq 2500
GSE106985,GSE106985_Table_s1.xls.gz-sheet-D7.5MUT_D7.5WT.anno,Illumina HiSeq 2500
GSE101605,GSE101605_gene_exp.diff.txt.gz,AB 5500 Genetic Analyzer
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_LRT,Illumina HiSeq 4000
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_WALD,Illumina HiSeq 4000
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_TRI+interactions_WALD,Illumina HiSeq 4000
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-male_vs_female_WALD,Illumina HiSeq 4000
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-male_female+interactions_WALD,Illumina HiSeq 4000
GSE104336,GSE104336_nm-vs-hf_rna-seq_raw_data_Fall_2016.csv.gz,Illumina NextSeq 500
GSE83214,GSE83214_ENAP1ox_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,Illumina HiSeq 2000
GSE79577,GSE79577_DESeq2_FTO_KO.csv.gz,Illumina HiSeq 2000
GSE76663,GSE76663_promoters.diff.gz,Illumina NextSeq 500
GSE89572,GSE89572_7d_DEGs.txt.gz,Illumina HiSeq 2000
GSE99397,GSE99397_CrePos-MHCNeg_vs_Control.CuffDiff.gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_mTECs.csv.gz,Illumina HiSeq 2000
GSE85847,GSE85847_matrix_rnaseq_GEO_submission_jsantos20160817.txt.gz,Illumina HiSeq 2000
GSE84450,GSE84450_WT_UTvsX_UT_gene_exp.diff.gz,Illumina HiSeq 2500
GSE81237,GSE81237_DE_RNAseqseq_analysis_DESeq_TTP-AAvsGFP.csv.gz,Illumina HiSeq 2500
GSE68229,GSE68229_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE69556,GSE69556_cds_exp.diff.gz,Illumina HiSeq 2500
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,Illumina Genome Analyzer IIx
GSE49700,GSE49700_aza.txt.gz,Illumina HiSeq 2000
GSE36866,GSE36866_gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE113400,GSE113400_all_FPKM_expression.txt.gz,HiSeq X Ten
GSE105789,GSE105789_F4-80negvsCD301bMphage_isoform.txt.gz,Illumina HiSeq 2000
GSE113519,GSE113519_condition.DESeq2_results_allgenes.csv.gz,Illumina HiSeq 4000
GSE99232,GSE99232_E10.5RET_WT_NULL.txt.gz,Illumina HiSeq 2000
GSE101801,GSE101801_gene_exp.diff.gz,Illumina HiSeq 2000
GSE94818,GSE94818_Afu_RNAseq_processed_data.xls.gz,Illumina HiScanSQ
GSE104336,GSE104336_nm-vs-hs_rna-seq_raw_data_Fall_2016.csv.gz,Illumina NextSeq 500
GSE83214,GSE83214_ein2_air_vs_C2H4_gene_exp.diff.gz,Illumina HiSeq 2000
GSE76663,GSE76663_splicing.diff.gz,Illumina NextSeq 500
GSE87862,GSE87862_gene_exp.diff.gz,Illumina HiSeq 4000
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_sp-DCs.csv.gz,Illumina HiSeq 2000
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_Flut_PPC_genes_diff.tsv.gz,Illumina HiSeq 3000
GSE83736,GSE83736_DESeq2.Vav.KO.C_vs_Vav.WT.C.txt.gz,Illumina HiSeq 2000
GSE93774,GSE93774_Full_gene_list-Control_vs_KO.csv.gz,Illumina HiSeq 2000
GSE83717,GSE83717_FPKMs_pvalue_matrices.txt.gz,Illumina HiSeq 2000
GSE76304,GSE76304_gene_exp.diff.gz,Illumina HiSeq 2000
GSE81237,GSE81237_DE_RNAseqseq_analysis_DESeq_TTP-AAvsTTP.csv.gz,Illumina HiSeq 2500
GSE64687,GSE64687_FPKM_and_differential_expression_for_mRNA.txt.gz,Illumina HiSeq 2000
GSE59850,GSE59850_redrho_late_cuffdiff_out.diff.txt.gz,Illumina HiSeq 2500
GSE29992,GSE29992_Het1_KO2_expr.txt.gz,Illumina HiSeq 2000
GSE105788,GSE105788_WBvsNW_AP_isoform.txt.gz,Illumina HiSeq 2000
GSE109806,GSE109806_MockVsRalt_gene_exp.diff.gz,Illumina HiSeq 2500
GSE99231,GSE99231_293_DESEQ2.txt.gz,Illumina HiSeq 3000
GSE92641,GSE92641_Uhrf1_gene_exp.xlsx,Illumina MiSeq
GSE74176,GSE74176_wt-SPL_line1-SPL_annotated.txt.gz,Illumina HiSeq 2000
GSE83214,GSE83214_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,Illumina HiSeq 2000
GSE94907,GSE94907_HC-ATB.txt.gz,Illumina HiSeq 2500
GSE76663,GSE76663_tss_group_exp.diff.gz,Illumina NextSeq 500
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_Flut_genes_diff.tsv.gz,Illumina HiSeq 3000
GSE83736,GSE83736_DESeq2.Vav.WTvsKO.StimulatedInteractions.txt.gz,Illumina HiSeq 2000
GSE77044,GSE77044_comparison2.xls.gz,Illumina HiSeq 2500
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,Illumina HiSeq 2500
GSE81237,GSE81237_DE_RNAseqseq_analysis_DESeq_TTPvsGFP.csv.gz,Illumina HiSeq 2500
GSE66445,GSE66445_M._a.-pES1-MATmcr3_methane_vs._M.a.-pES1-MATmcr3_methanol_GEO_Processed_data.xlsx-sheet-Sheet1,Illumina HiSeq 2000
GSE61566,GSE61566_promoters.diff.gz,Illumina HiSeq 2000
GSE33736,GSE33736_HAmCqG0_G8expression.txt.gz,Illumina HiSeq 2000
GSE115172,GSE115172_WTAvsRes4.txt.gz,Illumina HiSeq 2000
GSE114189,GSE114189_msc_lps_0_6_24_hrs_gene_exp.txt.gz,Illumina NextSeq 500
GSE94722,GSE94722_Mixed_vs_Media_genes.txt.gz,Illumina HiSeq 2500
GSE108161,GSE108161_deseq2_results.txt.gz,Illumina Genome Analyzer II
GSE101142,GSE101142_Supplemental_table_1.txt.gz,Illumina NextSeq 500
GSE103167,GSE103167_rat_gene_exp_diff_ensemble_anno.xlsx-sheet-Sheet1,Illumina HiSeq 2000
GSE94907,GSE94907_HC-LTBI.txt.gz,Illumina HiSeq 2500
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_PPC_genes_diff.tsv.gz,Illumina HiSeq 3000
GSE85554,GSE85554_deg_and_counts_table_new_read_counts.txt.gz,Illumina HiSeq 2500
GSE68470,GSE68470_xue_etal_edgeR.txt.gz,Illumina HiSeq 2500
GSE64840,GSE64840_2N_Ts65Dn_MEFs.gene_exp.diff.gz,Illumina HiSeq 2500
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz,Illumina HiSeq 2000
GSE61566,GSE61566_splicing.diff.gz,Illumina HiSeq 2000
GSE59850,GSE59850_redvio_late_cuffdiff_out.diff.txt.gz,Illumina HiSeq 2500
GSE43431,GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz,Illumina Genome Analyzer IIx
GSE111189,GSE111189_diff-Deseq2-R-Oil-vs-85-Oil.txt.gz,Illumina NextSeq 500
GSE121911,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1,Illumina HiSeq 2500
GSE99247,GSE99247_GEO_gene_exp_JNA_NF.txt.gz,Illumina HiSeq 2500
GSE94722,GSE94722_PA_vs_Media_genes.txt.gz,Illumina HiSeq 2500
GSE94907,GSE94907_LTBI-ATB.txt.gz,Illumina HiSeq 2500
GSE76257,GSE76257_O-VG_OGS2.csv.gz,Illumina HiSeq 2500
GSE77693,GSE77693_deseq.comparison.csv.gz,Illumina HiSeq 2500
GSE70806,GSE70806_rf6a_matrix.txt.gz,Illumina HiSeq 2000
GSE70668,GSE70668_DD_gene_exp.diff.csv.gz,Illumina NextSeq 500
GSE70584,GSE70584_Liberman2015_Wholeroot_CUFFLINKS_gene_exp.txt.gz,Illumina HiSeq 2000
GSE65697,GSE65697_RNA-seq.csv.gz,Illumina HiSeq 2000
GSE61566,GSE61566_tss_group_exp.diff.gz,Illumina HiSeq 2000
GSE105068,GSE105068_deseq_WT_versus_KO_lung_all_genes.txt.gz,Illumina HiSeq 2500
GSE116916,GSE116916_Processed_data_Wareham2.txt.gz,Illumina NovaSeq 6000
GSE102231,GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,Illumina NextSeq 500
GSE86457,GSE86457_hNSCs_DHT_100nM_24h_DEanalysis.csv.gz,Illumina HiSeq 2500
GSE94722,GSE94722_SA_vs_Media_genes.txt.gz,Illumina HiSeq 2500
GSE106688,GSE106688_cuffdiff_gene_exp.diff.gz,Illumina NextSeq 500
GSE83455,GSE83455_cuffdiff_alltimepoints.xlsx,Illumina HiSeq 2500
GSE81437,GSE81437_polyA_differential_gene_expression.txt.gz,Illumina HiSeq 2000
GSE94120,GSE94120_K562pos_rel_abundance_1x1.txt.gz,Illumina HiSeq 2000
GSE85442,GSE85442_cuffdiff.gene_exp_diff.allg.txt.gz,Illumina HiSeq 2000
GSE80128,GSE80128_P035_DESeq_KO-WT_pathway.txt.gz,Illumina HiSeq 2000
GSE79830,GSE79830_Sp2_Wdr70del_vs_Sp1_Wt.Differential_analysis_results.txt.gz,Illumina HiSeq 2500
GSE58053,GSE58053_1mm-over-0mm.txt.gz,Illumina HiSeq 2000
GSE59850,GSE59850_rhogrn_early_cuffdiff_out.diff.txt.gz,Illumina HiSeq 2500
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,Illumina HiSeq 2000
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,Illumina HiSeq 2000
GSE116915,GSE116915_Microbead_vs_control_raw_data_RNAseq_mouse.define_DESeq2.txt.gz,Illumina NovaSeq 6000
GSE102231,GSE102231_STreghi_vs_ITreghi.gene_exp.diff.gz,Illumina NextSeq 500
GSE112248,GSE112248_1_vs_2.diff.exp.txt.annot.txt.gz,HiSeq X Ten
GSE86457,GSE86457_hNSCs_batch1_androgens_24h_DEanalysis.csv.gz,Illumina HiSeq 2500
GSE70228,GSE70228_ThermococcusIsoforms_exp.diff.xlsx,Illumina MiSeq
GSE102221,GSE102221_DESeq_silver_uninfected_vs_silver_infected.xlsx,Illumina HiSeq 2500
GSE97129,GSE97129_CG9879_vs_WT_CuffDiff_Output_BDGP5.txt.gz,Illumina MiSeq
GSE93339,GSE93339_e125_Yap-mt_lung_all_genes.txt.gz,Illumina HiSeq 4000
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-H3WT_DMSO_x_K27M_DMSO,Illumina HiSeq 2500
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-H3WT_DMSO_x_H3WT_EPZ,Illumina HiSeq 2500
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-K27M_DMSO_x_K27M_EPZ,Illumina HiSeq 2500
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-H3WT_EPZ_x_K27M_EPZ,Illumina HiSeq 2500
GSE94120,GSE94120_SKNSHpos_rel_abundance_1x1.txt.gz,Illumina HiSeq 2000
GSE83218,GSE83218_HSC.txt.gz,Illumina HiSeq 2500
GSE85442,GSE85442_cuffdiff.isoform_exp.diff.txt.gz,Illumina HiSeq 2000
GSE74220,GSE74220_Expression_of_Long_Non-Coding_RNAs_in_Control_and_IL1b_treated_human_chondrocytes.txt.gz,Illumina HiSeq 2000
GSE70584,GSE70584_Liberman2015_sorted_CUFFLINKS_gene_exp.txt.gz,Illumina HiSeq 2000
GSE58053,GSE58053_25mm-over-0mm.txt.gz,Illumina HiSeq 2000
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE114336,GSE114336_Merkel_Keratinocytes_DEseq_RPKM.xlsx,Illumina HiSeq 1000
GSE102231,GSE102231_STreghi_vs_STreglo.gene_exp.diff.gz,Illumina NextSeq 500
GSE98082,GSE98082_E13_5_Tie2_Ino80_KO_DESeq2.csv.gz,Illumina NextSeq 500
GSE102142,GSE102142_FoxAaBra_gene_exp_diff.txt.gz,Illumina HiSeq 2500
GSE102221,GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,Illumina HiSeq 2500
GSE98526,GSE98526_A12_vs_UA159T5.txt.gz,Illumina HiSeq 2500
GSE97129,GSE97129_Can_vs_WT_CuffDiff_Output_BDGP5.txt.gz,Illumina MiSeq
GSE94120,GSE94120_U2OS-PcTF_rel_abundance_1x3.txt.gz,Illumina HiSeq 2000
GSE81493,GSE81493_Differential_gene_expression_analysis.diff.gz,Illumina NextSeq 500
GSE84875,GSE84875_human_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE84875,GSE84875_human_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE85442,GSE85442_cuffdiff.tss_group_exp.diff.txt.gz,Illumina HiSeq 2000
GSE77902,GSE77902_WM1976_siRNA1_vs_control.deseq.txt.gz,Illumina NextSeq 500
GSE74220,GSE74220_Expression_of_Protein_Coding_Genes_in_Control_and_IL1b_treated_human_chondrocytes.txt.gz,Illumina HiSeq 2000
GSE58053,GSE58053_25mm-over-1mm.txt.gz,Illumina HiSeq 2000
GSE56013,GSE56013_A.Wildtype_wholefly_DCVrel.Mock.txt.gz,Illumina HiSeq 2000
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,Illumina HiSeq 2000
GSE120077,GSE120077_processed_data.xlsx-sheet-Complete_Sheet,Illumina HiSeq 2500
GSE102231,GSE102231_STreglo_vs_ITreglo.gene_exp.diff.gz,Illumina NextSeq 500
GSE102141,GSE102141_CYTB_gene_exp_diff.txt.gz,Illumina HiSeq 2500
GSE94017,GSE94017_ATO_versus_control_diff.xlsx,Illumina HiSeq 4000
GSE98526,GSE98526_A1_vs_UA159T5.txt.gz,Illumina HiSeq 2500
GSE97129,GSE97129_Comr_vs_WT_CuffDiff_Output_BDGP5.txt.gz,Illumina MiSeq
GSE94120,GSE94120_U2OSpos_rel_abundance_1x1.txt.gz,Illumina HiSeq 2000
GSE84875,GSE84875_mouse_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE84875,GSE84875_mouse_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE67001,GSE67001_gene_exp.diff.gz,Illumina HiSeq 2500
GSE77901,GSE77901_SLNCR1_vs_vector.deseq.txt.gz,Illumina NextSeq 500
GSE56013,GSE56013_B.G9amutant_wholefly_DCVrel.Mock.txt.gz,Illumina HiSeq 2000
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE123186,GSE123186_Lanno_et_al_2018_Cuffdiff.txt.gz,Illumina HiSeq 4000
GSE117669,GSE117669_readcounts.txt.gz,Illumina HiSeq 2500
GSE102231,GSE102231_STregs_vs_ITreghi.gene_exp.diff.gz,Illumina NextSeq 500
GSE100484,GSE100484_HL-60_Parental_vs_JMJD3_KO.diff.exp.xls.gz,Illumina HiSeq 4000
GSE105128,GSE105128_result.txt.gz,Illumina HiSeq 2500
GSE45703,GSE45703_lack_of_response.txt.gz,Illumina HiSeq 2000
GSE94017,GSE94017_ATRA_versus_control_diff.xlsx,Illumina HiSeq 4000
GSE98526,GSE98526_A2_vs_UA159T5.txt.gz,Illumina HiSeq 2500
GSE97129,GSE97129_Mip40_vs_WT_CuffDiff_Output_BDGP5.txt.gz,Illumina MiSeq
GSE75640,GSE75640_HR1_vs_control_1_gene_exp.diff.gz,Illumina HiSeq 2000
GSE81707,GSE81707_N2_HC125_RNA-seq_PairedEnd_gene_exp_diff.xlsx,Illumina NextSeq 500
GSE84737,GSE84737_All_genes_unfiltered_DE.txt.gz,Illumina HiSeq 2000
GSE81593,GSE81593_1.Mcf10A_p53delVec_and_p53delHras.xlsx,Illumina HiSeq 2000
GSE77901,GSE77901_SLNCR1cons_vs_vector.deseq.txt.gz,Illumina NextSeq 500
GSE68360,GSE68360_cds.diff.gz,Illumina HiSeq 2000
GSE56013,GSE56013_E.Wildtype_fatbody_DCVrel.Mock.txt.gz,Illumina HiSeq 2000
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,Illumina HiSeq 2000
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,Illumina HiSeq 2000
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,Illumina Genome Analyzer II
GSE102231,GSE102231_STregs_vs_ITreglo.gene_exp.diff.gz,Illumina NextSeq 500
GSE109322,GSE109322_gene_exp.diff.gz,Illumina HiSeq 2500
GSE111148,GSE111148_Astrocyte_Kir4.1cKO_DESeq2output.csv.gz,Illumina NextSeq 500
GSE109152,GSE109152_All.HFD_v_ND.2_counts.txt.gz,Illumina HiSeq 2000
GSE104420,GSE104420_CVM_cuffdiffresult.txt.gz,Illumina HiSeq 2500
GSE99825,GSE99825_difference.txt.gz,Illumina HiSeq 2500
GSE98526,GSE98526_UA159T5_vs_UA159T0.txt.gz,Illumina HiSeq 2500
GSE75640,GSE75640_HR2_vs_control_2_gene_exp.diff.gz,Illumina HiSeq 2000
GSE81707,GSE81707_N2_HC125_RNA-seq_SingleEnd_gene_exp_diff.xlsx,Illumina NextSeq 500
GSE84737,GSE84737_Genes_filtered_DE.txt.gz,Illumina HiSeq 2000
GSE81593,GSE81593_2.Mcf10A_Vec_and_Hras.xlsx,Illumina HiSeq 2000
GSE77901,GSE77901_SLNCR1deltacons_vs_vector.deseq.txt.gz,Illumina NextSeq 500
GSE68360,GSE68360_cds_exp.diff.gz,Illumina HiSeq 2000
GSE57397,GSE57397_degexp.KO-REC-REP1-RNA.vs.KO-HS-REP1-RNA.output_score.txt.gz,Illumina HiSeq 2000
