Accession,Supplementary file name,True nulls proportion,histclus,code,type,Type,comment
GSE63226,GSE63226_WRR+vsWRR-.xls.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE63300,GSE63300_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63485,GSE63485_KS_J1Csh63_vs_KS_CTRL.two_replicates.all_gene_exp.tbl.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63485,GSE63485_KS_J1Csh95_vs_KS_CTRL.two_replicates.all_gene_exp.tbl.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63485,GSE63485_shAML1_ETO_vs_shControl.all_gene_exp.tbl.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63510,GSE63510_ko_vs_wt_fold_changes_p_values.txt.gz,0.54,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE63555,GSE63555_Ago2_immunoprecipitation_cuffdiff_fpkm.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63555,GSE63555_Gene_expression_cuffdiff_fpkm.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63570,GSE63570_Rec_siRNA_RNA-seq.txt.gz,0.92,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE63707,GSE63707_DEXSeqResults_AretIR_03d_vs_IFMWT_03d.txt.gz,0.67,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_AretIR_03d_vs_salm_ko.txt.gz,0.59,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_AretIR_30h_vs_IFMWT_30h.txt.gz,0.69,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_AretIR_72h_vs_IFMWT_72h.txt.gz,0.67,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_IFMWT_03d_vs_jump_0d.txt.gz,0.70,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_IFMWT_03d_vs_leg_0d.txt.gz,0.72,#440154FF,NA,NA,NA,NA
GSE63707,GSE63707_DEXSeqResults_salm_ko_vs_IFMWT_03d.txt.gz,0.65,#440154FF,NA,NA,NA,NA
GSE63748,GSE63748_exp_7d4h_diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE63758,GSE63758_gene_exp.diff.gz,0.86,#440154FF,NA,NA,NA,NA
GSE63794,GSE63794_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63810,GSE63810_BCKO_RNASeq_Data.xlsx-sheet-GenesDiffExp,0.98,#2A788EFF,NA,NA,NA,NA
GSE63836,GSE63836_C15Dx_versus_Untr.DESeq.txt.gz,0.63,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE63836,GSE63836_Dx_versus_C15Dx.DESeq.txt.gz,0.80,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE63838,GSE63838_cds_exp_diff_2D.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE63884,GSE63884_gene_exp.diff_cenpk_imx372_aerobic.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE63889,GSE63889_Diff_0U_120U_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63889,GSE63889_Diff_120U_120C_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63948,GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-long 3'UTR transcripts(>1500nt),0.87,#440154FF,NA,NA,NA,NA
GSE63948,GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-medium 3'UTR transcripts,0.95,#440154FF,NA,NA,NA,NA
GSE63948,GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-short 3'UTR transcripts(<350nt),0.90,#440154FF,NA,NA,NA,NA
GSE64025,GSE64025_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE64185,GSE64185_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE64242,GSE64242_cufdiff_isoform_exp.diff.gz,0.93,#440154FF,NA,NA,NA,NA
GSE64455,GSE64455_cuffdiff_out.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64513,GSE64513_FOXD3_vs_Control_gene_exp_diff_anno.txt.gz,0.61,#22A884FF,NA,NA,NA,NA
GSE64544,GSE64544_LV_processed.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE64544,GSE64544_MV_processed.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE64641,GSE64641_leaf_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64641,GSE64641_seedling_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64687,GSE64687_FPKM_and_differential_expression_for_mRNA.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64747,GSE64747_deseq_comp_DMSO_minus_TEX_vs_compound59_minus_TEX_with_annot_and_counts.txt.gz,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE64757,GSE64757_All_FPKMs_GEO.csv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE64840,GSE64840_2N_Ts65Dn_MEFs.gene_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE64854,GSE64854_cds_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_cds.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_gene_exp.diff.gz,0.98,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_isoform_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_promoters.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_splicing.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE64854,GSE64854_tss_group_exp.diff.gz,0.99,#414487FF,NA,NA,NA,NA
GSE65022,GSE65022_cuffdiff-WT_CD_gene_exp.diff.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE65024,GSE65024_WT-bhlh_gene_exp.diff.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE65025,GSE65025_WT-HSF_gene_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE65039,GSE65039_gene_exp1.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE65072,GSE65072_DESeq_plusDOX_minusDOX.xlsx,0.55,#22A884FF,NA,NA,NA,NA
GSE65142,GSE65142_HYBP.txt.gz,0.88,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65142,GSE65142_YH.txt.gz,0.94,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65321,GSE65321_RNASeqProcessedDESeqData_GSM1631482-GSM1631483.txt.gz,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65321,GSE65321_RNASeqProcessedDESeqData.txt.gz,0.97,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE65328,GSE65328_A17_6V.tab.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE65337,GSE65337_Nfix_KO_vs_WT_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE65406,GSE65406_control_vs_gld1_DESeq.csv.gz,0.85,#440154FF,NA,NA,NA,NA
GSE65406,GSE65406_gld1_vs_tumorfast_DESeq.csv.gz,0.92,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65406,GSE65406_gld1_vs_tumorfed_DESeq.csv.gz,0.87,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65406,GSE65406_tumorfed_vs_tumorfast_DESeq.csv.gz,0.90,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65406,GSE65406_youngadults_vs_gld1_DESeq.csv.gz,0.84,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE65408,GSE65408_processed_data_file.csv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE65487,GSE65487_deseq.rminus_rplus.ensembl.csv.gz,0.67,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65487,GSE65487_deseq.rplus_gplus.ensembl.csv.gz,0.50,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65542,GSE65542_pnky_kd.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE65542,GSE65542_ptbp1_kd.diff.gz,0.93,#2A788EFF,NA,NA,NA,NA
GSE65697,GSE65697_RNA-seq.csv.gz,0.78,#440154FF,NA,NA,NA,NA
GSE65935,GSE65935_DKOrvsDKOnr_diffexp.txt.gz,0.53,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65935,GSE65935_WTvsDKOnr_diffexp.txt.gz,0.49,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65935,GSE65935_WTvsDKOr_diffexp.txt.gz,0.47,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65973,GSE65973_NLS_deseq2_all_alluniq_vs_mmu9htdp43nls.txt.gz,0.37,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE65987,GSE65987_FPKM_for_MEFs.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE66148,GSE66148_NC_v_CNS.txt.gz,0.52,#22A884FF,NA,NA,NA,NA
GSE66148,GSE66148_NC_v_CNS.txt.gz,0.54,#22A884FF,NA,NA,NA,NA
GSE66148,GSE66148_NC_v_CNS.txt.gz,0.55,#22A884FF,NA,NA,NA,NA
GSE66155,GSE66155_regulation.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE66158,GSE66158_all_genes_FPKM.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE66232,GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep1.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE66232,GSE66232_B-ALL_Cuffdiff_Trim33.1271_rep2.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE66445,GSE66445_M._a.-pES1-MATmcr3_methane_vs._M.a.-pES1-MATmcr3_methanol_GEO_Processed_data.xlsx-sheet-Sheet1,1.00,#414487FF,NA,NA,NA,NA
GSE66478,GSE66478_gene_exp.txt.gz,0.78,#440154FF,NA,NA,NA,NA
GSE66478,GSE66478_isoform_exp.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE66506,GSE66506_DE_analysis_010714.xlsx-sheet-All_Genes,0.93,#440154FF,NA,NA,NA,NA
GSE66547,GSE66547_20150828-oocyteMut_vs_oocyteWt-deResults.xlsx-sheet-Genes,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE66575,GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.gene_exp,1.00,#2A788EFF,NA,NA,NA,NA
GSE66575,GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.isoform_e,1.00,#414487FF,NA,NA,NA,NA
GSE66619,GSE66619_Dorsal_Cord_Ipsi_vs_Con_mrna_gene_exp.diff.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE66619,GSE66619_DRG_Con_vs_Ips_mrna_gene_exp.diff.txt.gz,0.95,#440154FF,NA,NA,NA,NA
GSE66652,GSE66652_AS13-C_differential_expression.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE66652,GSE66652_S4-C_differential_expression.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE66716,GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE66767,GSE66767_CD34_cord_blood.EET.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE66767,GSE66767_U937.EET.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE66793,GSE66793_cmp1-3-geo-gene.tsv.gz,0.86,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE66822,GSE66822_PRMT5-vs-WT_SC-mrna_counts.txt.gz,0.83,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE67001,GSE67001_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE67029,GSE67029_cuffdiff_mh_h8.txt.gz,0.93,#440154FF,NA,NA,NA,NA
GSE67063,GSE67063_gene_exp.diff.gz,0.89,#440154FF,NA,NA,NA,NA
GSE67334,GSE67334_TFH.Vs.TH1.DESeq_Analysis_DE_Genes.txt.gz,0.79,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE67335,GSE67335_LEF1_Th1.Vs.pMIG_Th1.DESeq_Analysis_DE_Genes.txt.gz,1.00,#2A788EFF,36,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE67437,GSE67437_KO-ILC2-mLN_021815_vs_WT-ILC2-mLN_021815.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE67554,GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz,0.87,#440154FF,NA,NA,NA,NA
GSE67554,GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz,0.88,#440154FF,NA,NA,NA,NA
GSE67646,GSE67646_DESeq_1.10.1.txt.gz,0.67,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67654,GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1,0.61,#440154FF,NA,NA,NA,NA
GSE67654,GSE67654_RNA-seq.xlsx.gz-sheet-Sheet1,0.62,#440154FF,NA,NA,NA,NA
GSE67674,GSE67674_RNA-seq_analysis_AADMSOvsAAGSK-J4.txt.gz,0.97,#440154FF,NA,NA,NA,NA
GSE67674,GSE67674_RNA-seq_analysis_PBSDMSOvsPBSGSK-J4.txt.gz,0.95,#440154FF,NA,NA,NA,NA
GSE67756,GSE67756_LA2A-vs-LC2A.compare.txt.gz,0.42,#22A884FF,NA,NA,NA,NA
GSE67756,GSE67756_LB2A-vs-LA2A.compare.txt.gz,0.44,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67756,GSE67756_LB2A-vs-LC2A.compare.txt.gz,0.53,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67756,GSE67756_LB2A-vs-LF1A.compare.txt.gz,0.49,#22A884FF,NA,NA,NA,NA
GSE67787,GSE67787_con_bps_wex_RNAseq_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_sp-DCs.csv.gz,0.29,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_mTECs_vs_t-DCs.csv.gz,0.27,#7AD151FF,1,1,anti-conservative,Pi0 can be calculated
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_mTECs.csv.gz,0.29,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_sp-DCs_vs_t-DCs.csv.gz,0.52,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_mTECs.csv.gz,0.27,#7AD151FF,1,1,anti-conservative,Pi0 can be calculated
GSE67834,GSE67834_DESeq2_genes_diffexp_by_fc_t-DCs_vs_sp-DCs.csv.gz,0.52,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE67954,GSE67954_CSR1_RNAi_DESeq_output.txt.gz,0.75,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE67954,GSE67954_P_granule_RNAi_DESeq_output.txt.gz,0.83,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE68102,GSE68102_gene_exp.diff.gz,0.96,#414487FF,NA,NA,NA,NA
GSE68160,GSE68160_GRdim-RNASeq.xlsx,0.89,#440154FF,NA,NA,NA,NA
GSE68176,GSE68176_Camfl1.gene_exp.diff.gz,0.97,#440154FF,NA,NA,NA,NA
GSE68176,GSE68176_Ophio1_1.gene_exp.diff.gz,0.56,#22A884FF,NA,NA,NA,NA
GSE68229,GSE68229_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE68229,GSE68229_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE68360,GSE68360_cds_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE68360,GSE68360_cds.diff.gz,0.83,#440154FF,NA,NA,NA,NA
GSE68360,GSE68360_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE68360,GSE68360_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE68360,GSE68360_promoters.diff.gz,0.79,#440154FF,NA,NA,NA,NA
GSE68360,GSE68360_splicing.diff.gz,0.77,#440154FF,NA,NA,NA,NA
GSE68460,GSE68460_gene_exp.xls.gz-sheet-Sheet1,1.00,#2A788EFF,NA,NA,NA,NA
GSE68460,GSE68460_WSVSBS_gene_diff.xls.gz-sheet-Sheet1,1.00,#440154FF,NA,NA,NA,NA
GSE68470,GSE68470_xue_etal_edgeR.txt.gz,0.89,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE68736,GSE68736_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE68806,GSE68806_Galaxy_data_Cuffdiff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE68813,GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep1 CuffDiff Mock vs AGO2-KD,1.00,#2A788EFF,NA,NA,NA,NA
GSE68813,GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep2 CuffDiff Mock vs AGO2-KD,1.00,#414487FF,NA,NA,NA,NA
GSE68998,GSE68998_DiffExpDeseq2_mdx2_NOut_3.6.14.csv.gz,0.59,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE69110,GSE69110_d2GFP_vs_d2Sox9OE.deseq.res.csv.gz,0.58,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE69113,GSE69113_AIPVUIP_differential_expression.txt.gz,0.91,#440154FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE69113,GSE69113_BIPVUIP_differential_expression.txt.gz,0.86,#440154FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE69125,GSE69125_10408_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE69175,GSE69175_gene_exp.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE69205,GSE69205_gene_exp.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE69311,GSE69311_deseq_diff_genes.csv.gz,0.98,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE69556,GSE69556_cds_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE69721,GSE69721_UP-_and_Down-regulated_genes.txt.gz,0.98,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE69855,GSE69855_gene_exp_ResvResVag.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE69855,GSE69855_gene_exp_ResvSham.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE69900,GSE69900_control-CBD16H.txt.gz,0.79,#440154FF,NA,NA,NA,NA
GSE69900,GSE69900_control-tamoxifen48H.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE70068,GSE70068_GM_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70068,GSE70068_TNF_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70068,GSE70068_UT_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70108,GSE70108_G263_CuffDiff_WTvsDDX5Tko.tabular.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70108,GSE70108_G340_CuffDiff_WTvsRORgko.tabular.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70141,GSE70141_Ax2_0H_1_2_Ax2_10H_1_2_DESeq.results.genenames.txt.gz,0.22,#7AD151FF,1,1,anti-conservative,Pi0 can be calculated
GSE70141,GSE70141_Ax2_0H_1+2_ChdC_0H_1+2_DESeq.results.genenames.txt.gz,0.61,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE70141,GSE70141_Ax2_10H_1_2_ChdC_12H_1_2_DESeq.results.genenames.txt.gz,0.30,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE70283,GSE70283_cuffdiff_gene_exp.diff.gz,0.96,#440154FF,NA,NA,NA,NA
GSE70314,GSE70314_Gal474_cuffdiff_sictrl.1_siAtad2.1_gene_differential_expression_testing.txt.gz,0.92,#2A788EFF,NA,NA,NA,NA
GSE70314,GSE70314_Gal476_cuffdiff_sictrl.1_siAtad2.1_transcript_differential_expression_testing.txt.gz,0.92,#2A788EFF,NA,NA,NA,NA
GSE70314,GSE70314_Gal485_cuffdiff_sictrl.2_siAtad2.2_gene_differential_expression_testing.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE70314,GSE70314_Gal487_cuffdiff_sictrl.2_siAtad2.2_transcript_differential_expression_testing.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE70382,GSE70382_DESeq_allresp_vs_nonresp.xlsx-sheet-Blad1,0.96,#440154FF,NA,NA,NA,NA
GSE70488,GSE70488_Day_vs_Night_sSeq.txt.gz,0.35,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz,0.97,#414487FF,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz,0.96,#414487FF,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE70584,GSE70584_Liberman2015_sorted_CUFFLINKS_gene_exp.txt.gz,0.80,#440154FF,NA,NA,NA,NA
GSE70584,GSE70584_Liberman2015_Wholeroot_CUFFLINKS_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE70668,GSE70668_DD_gene_exp.diff.csv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70699,GSE70699_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE70711,GSE70711_IRF4hi.vs.IRF8hi.gene_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE70711,GSE70711_IRF8cKO_GCBCell_RPKM_exp_1.csv.gz,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE70711,GSE70711_IRF8cKO_GCBCell_RPKM_exp_2.csv.gz,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE70728,GSE70728_KDM2B_RNAseq_DEG.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE70766,GSE70766_Differential_expression.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE70785,GSE70785_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE70806,GSE70806_rf6a_matrix.txt.gz,0.96,#414487FF,NA,NA,NA,NA
GSE70815,GSE70815_gene_exp.diff.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE70833,GSE70833_Rennoll_et_al_processed_data.xlsx-sheet-Cuffdiff,1.00,#414487FF,NA,NA,NA,NA
GSE70860,GSE70860_DEaxons.csv.gz,0.96,#440154FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE70860,GSE70860_DEsoma.csv.gz,1.00,#2A788EFF,3,4,other,Test assumptions violated? Adjusted P values?
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC < 0,1.00,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC > 0,1.00,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE71153,GSE71153_projectLindholmPerry_USDA0001AL_master_list.txt.gz,0.64,#FDE725FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE71159,GSE71159_E3KO_vs_EfCtrl_gene_exp.diff.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE71159,GSE71159_ECtrl_vs_E3KO_gene_exp.diff.txt.gz,0.99,#414487FF,NA,NA,NA,NA
GSE71159,GSE71159_ECtrl_vs_EfCtrl_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SCR-FSS.tabular.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SH-EZH2-static.tabular.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE71185,GSE71185_CHD8_CRISPR_RNASeq_Cuffdiff_PolyA.txt.gz,0.38,#22A884FF,NA,NA,NA,NA
GSE71185,GSE71185_CHD8_Knockdown_RNASeq_Cuffdiff_PolyA.txt.gz,0.47,#22A884FF,NA,NA,NA,NA
GSE71185,GSE71185_NSD3_Knockdown_RNASeq_Cuffdiff_NSR.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE71185,GSE71185_NSD3_Knockdown_RNASeq_Cuffdiff_PolyA.txt.gz,0.77,#440154FF,NA,NA,NA,NA
GSE71252,GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-geneExpDiffData,0.98,#440154FF,NA,NA,NA,NA
GSE71252,GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-isoformExpDiffData,0.98,#440154FF,NA,NA,NA,NA
GSE71281,GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE71284,GSE71284_control_WT2_WT3_C1_C2_vs_truncation_3kb1_3kb2_100kb1_100kb2_CUFFDIFF_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE71295,GSE71295_gene_exp.diff.gz,0.98,#414487FF,NA,NA,NA,NA
GSE71369,GSE71369_Processed_data_GRO_seq.xlsx-sheet-untethered_vs_tethered_RPM,1.00,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE71527,GSE71527_KO_naive_vs_KO_SNI_Sal.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_KO_SNI_Sal_vs_KO_SNI_DMI.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_WT_naive_vs_KO_naive.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_WT_naive_vs_WT_SNI_Sal.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_WT_SNI_DMI_vs_KO_SNI_DMI.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_WT_SNI_Sal_vs_KO_SNI_Sal.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71527,GSE71527_WT_SNI_Sal_vs_WT_SNI_DMI.xlsx,1.00,#414487FF,NA,NA,NA,NA
GSE71539,GSE71539_TP0vsTP23_gene_results.txt.gz,0.86,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE71539,GSE71539_TP0vsTP23_tag_results.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE71609,GSE71609_2015_MZT.txt.gz,0.84,#440154FF,NA,NA,NA,NA
GSE71609,GSE71609_2015_MZT.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE71609,GSE71609_2015_MZT.txt.gz,0.89,#440154FF,NA,NA,NA,NA
