Accession,suppdata_id,Type,pi0,Type_after_filter,pi0_after_filter
GSE96722,GSE96722_F1N-hippocampus_cuffdiff.xls.gz,conservative,NA,NA,NA
GSE106445,GSE106445_gene_exp.diff.xlsx,conservative,NA,NA,NA
GSE104560,GSE104560_WT_vs_Emerin_null_day_1_differentiation.xlsx-sheet-1six_gene_ann.diff,other,NA,NA,NA
GSE82008,GSE82008_rTreg-aTreg-RPKM_log2FC_pval.txt.gz-set-1,other,NA,NA,NA
GSE82008,GSE82008_rTreg-aTreg-RPKM_log2FC_pval.txt.gz-set-2,other,NA,NA,NA
GSE82008,GSE82008_rTreg-aTreg-RPKM_log2FC_pval.txt.gz-set-3,other,NA,NA,NA
GSE82008,GSE82008_rTreg-aTreg-RPKM_log2FC_pval.txt.gz-set-4,other,NA,NA,NA
GSE85883,GSE85883_CM_L_expression.diff.xlsx-sheet-gene_exp,conservative,NA,NA,NA
GSE93870,GSE93870_processed_file.xlsx-sheet-293FT_ZIKV.Vs.293FT_Control.DES,spiky,NA,anti-conservative,0.879887881700948
GSE93870,GSE93870_processed_file.xlsx-sheet-BJ_ZIKV.Vs.BJ_Control.DESeq_Ana,spiky,NA,anti-conservative,0.9550528469465452
GSE93870,GSE93870_processed_file.xlsx-sheet-CHME_ZIKV.Vs.CHME_Control.DESeq,spiky,NA,anti-conservative,0.8077243225750078
GSE93870,GSE93870_processed_file.xlsx-sheet-THP1_ZIKV.Vs.THP1_Control.DESeq,spiky,NA,anti-conservative,0.48157982478951405
GSE93870,GSE93870_processed_file.xlsx-sheet-ZIKV.Vs.Control.DESeq_Analysis_,spiky,NA,spiky,NA
GSE83406,GSE83406_gene_exp.diff.gz,conservative,NA,NA,NA
GSE79677,GSE79677_Crossbred_vs._Purebred_comparison_group.tabular.txt.gz,conservative,NA,NA,NA
GSE77032,GSE77032_aza_vs_vc.gene_exp.tsv.gz,conservative,NA,NA,NA
GSE80349,GSE80349_results.txt.gz-set-1,conservative,NA,NA,NA
GSE73940,GSE73940_cuffdiff.gene_exp.diff.gz,conservative,NA,NA,NA
GSE72994,GSE72994_promoters.diff.gz,conservative,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz-set-0,bimodal,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz-set-1,bimodal,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz-set-2,bimodal,NA,NA,NA
GSE59017,GSE59017_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE56966,GSE56966_MyD88_WT.xlsx.gz-sheet-gene_exp,other,NA,NA,NA
GSE56966,GSE56966_MyD88_WT.xlsx.gz-sheet-gene_notest,conservative,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_2_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE115349,GSE115349_PD20_v_PD22.batch2.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE123656,GSE123656_Processed_data_file_Sanchez-Montesino_et_al_2018_.xlsx,bimodal,NA,NA,NA
GSE115950,GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_Tx_vs_Migr_pLN_SPF_Tx.csv.gz,other,NA,NA,NA
GSE118656,GSE118656_schulman_kla_v_veh_interaction_results-genelist_2_.csv.gz,conservative,NA,anti-conservative,0.8583302759752968
GSE116866,GSE116866_murine_3group_normalized_matrix.csv.gz,spiky,NA,anti-conservative,0.4430383762817834
GSE97868,GSE97868_Suppl_Diff_Exp_Results_36_0-vs-72_0.txt.gz,conservative,NA,NA,NA
GSE104560,GSE104560_WT_vs_Emerin_null_day_2_differentiation.xlsx-sheet-2six_gene_ann.diff,other,NA,NA,NA
GSE87824,GSE87824_processed_data.xlsx,bimodal,NA,NA,NA
GSE95850,GSE95850_RUCA-I_WT_vs_miR-203_KO_gene_expression.csv.gz,other,NA,NA,NA
GSE79677,GSE79677_One_by_one_comparisons.tabular.txt.gz,conservative,NA,NA,NA
GSE83828,GSE83828_Gene_expression_data.xlsx,bimodal,NA,NA,NA
GSE77032,GSE77032_combo_vs_PBS.gene_exp.tsv.gz,conservative,NA,NA,NA
GSE76868,GSE76868_Table_S1_RNA-seq.xlsx,bimodal,NA,NA,NA
GSE73940,GSE73940_cuffdiff.isoform_exp.diff.gz,conservative,NA,NA,NA
GSE72994,GSE72994_tss_group_exp.diff.gz,conservative,NA,NA,NA
GSE71527,GSE71527_KO_SNI_Sal_vs_KO_SNI_DMI.xlsx,conservative,NA,NA,NA
GSE60641,GSE60641_AB03_2.xlsx.gz,bimodal,NA,NA,NA
GSE65025,GSE65025_WT-HSF_gene_exp.diff.gz,conservative,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_2_isoform_exp.diff.gz,bimodal,NA,NA,NA
GSE46066,GSE46066_ICRFVsDMSO.txt.gz,bimodal,NA,anti-conservative,0.7860745025602762
GSE115349,GSE115349_PD21_v_PD22.batch2.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE118108,GSE118108_4groups_gene_exp.diff.gz,conservative,NA,NA,NA
GSE109540,GSE109540_RNAseq.csv.gz,spiky,NA,anti-conservative,0.661130766976974
GSE114034,GSE114034_processed_data.txt.gz,conservative,NA,NA,NA
GSE107661,GSE107661_D4117_WT_GYM.txt.gz,other,NA,NA,NA
GSE104560,GSE104560_WT_vs_Emerin_null_day_3_differentiation.xlsx-sheet-3six_gene_ann.diff,other,NA,NA,NA
GSE85883,GSE85883_C_DL_expression.diff.xlsx-sheet-gene_exp,bimodal,NA,NA,NA
GSE93314,GSE93314_E10_G1_vs_S_0.085_.txt.gz,conservative,NA,NA,NA
GSE77032,GSE77032_combo_vs_aza.gene_exp.tsv.gz,conservative,NA,NA,NA
GSE70766,GSE70766_Differential_expression.txt.gz,bimodal,NA,NA,NA
GSE71527,GSE71527_KO_naive_vs_KO_SNI_Sal.xlsx,conservative,NA,NA,NA
GSE71252,GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-geneExpDiffData,bimodal,NA,NA,NA
GSE71252,GSE71252_Akdogan_RNASeq_Cuffdiff_JUL232015.xlsx-sheet-isoformExpDiffData,bimodal,NA,NA,NA
GSE61351,GSE61351_Cont_ComparedTo_PTH_D28_CuffDiffAnalysis1.xls.gz,bimodal,NA,NA,NA
GSE65024,GSE65024_WT-bhlh_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE57396,GSE57396_Cuttdiff_cds_exp.diff.txt.gz,conservative,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE115349,GSE115349_PD28_v_PD29.batch3.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE118108,GSE118108_PreVPost_gene_exp.diff.gz,conservative,NA,NA,NA
GSE106488,GSE106488_gene_exp.diff.gz,conservative,NA,NA,NA
GSE109510,GSE109510_Differential_Normalized_Counts.txt.gz,spiky,NA,anti-conservative,0.7523176432546971
GSE104560,GSE104560_WT_vs_Emerin_null_day_4_differentiation.xlsx-sheet-4six_gene_ann.diff,other,NA,NA,NA
GSE94501,GSE94501_cuffdiff_gene_exp_diff.txt.gz,uniform,NA,NA,NA
GSE93314,GSE93314_E10_S_vs_G1_0.085_.txt.gz,conservative,NA,NA,NA
GSE84301,GSE84301_Pub_vs_Prepub.Differential_analysis_results.txt.gz,conservative,NA,NA,NA
GSE86187,GSE86187_p0wt-ko-gene_exp.diff.gz,bimodal,NA,NA,NA
GSE80503,GSE80503_RNASeqProcessedDESeqData.xlsx,conservative,NA,NA,NA
GSE93280,GSE93280_gene_exp.diff.gz,conservative,NA,NA,NA
GSE77032,GSE77032_combo_vs_vc.gene_exp.tsv.gz,conservative,NA,NA,NA
GSE61969,GSE61969_gene_exp.diff.gz,conservative,NA,NA,NA
GSE72059,GSE72059_21_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE69721,GSE69721_UP-_and_Down-regulated_genes.txt.gz,bimodal,NA,NA,NA
GSE71527,GSE71527_WT_SNI_DMI_vs_KO_SNI_DMI.xlsx,conservative,NA,NA,NA
GSE67335,GSE67335_LEF1_Th1.Vs.pMIG_Th1.DESeq_Analysis_DE_Genes.txt.gz,other,NA,other,NA
GSE65022,GSE65022_cuffdiff-WT_CD_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_isoform_exp.diff.gz,bimodal,NA,NA,NA
GSE115349,GSE115349_PD28_v_PD30.batch3.novel.gene_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE109582,GSE109582_cuffdiff_101817_gene_exp.csv.gz,bimodal,NA,NA,NA
GSE111294,GSE111294_female_gene_exp.diff.gz,conservative,NA,NA,NA
GSE92611,GSE92611_2h_gene_exp.diff.gz,conservative,NA,NA,NA
GSE104560,GSE104560_WT_vs_Emerin_null_day_Proliferation.xlsx-sheet-psix_gene_ann.diff,other,NA,NA,NA
GSE85883,GSE85883_M_DL_expression.diff.xlsx-sheet-gene_exp,bimodal,NA,NA,NA
GSE93314,GSE93314_E10_vs_E11_G1_0.085_.txt.gz,conservative,NA,NA,NA
GSE93206,GSE93206_Processed_data_files.xlsx-set-0,conservative,NA,NA,NA
GSE93206,GSE93206_Processed_data_files.xlsx-set-1,spiky,NA,NA,NA
GSE86187,GSE86187_p6wt-ko_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE87635,GSE87635_CNOT3KO-WT.txt.gz,conservative,NA,NA,NA
GSE76865,GSE76865_gene_exp.diff.gz,conservative,NA,NA,NA
GSE77032,GSE77032_vc_vs_PBS.gene_exp.tsv.gz,conservative,NA,NA,NA
GSE76771,GSE76771_ALL_gene_expression.txt.gz,conservative,NA,NA,NA
GSE71527,GSE71527_WT_SNI_Sal_vs_KO_SNI_Sal.xlsx,conservative,NA,NA,NA
GSE68806,GSE68806_Galaxy_data_Cuffdiff.txt.gz,conservative,NA,NA,NA
GSE64757,GSE64757_All_FPKMs_GEO.csv.gz,conservative,NA,NA,NA
GSE54433,GSE54433_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL2_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE115349,GSE115349_PD28_v_PD31.batch3.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE110677,GSE110677_HMEC_RNAseq.DiffGeneExp.tdt.txt.gz,conservative,NA,NA,NA
GSE92611,GSE92611_4h_gene_exp.diff.gz,conservative,NA,NA,NA
GSE103949,GSE103949_Liver-RNASeq.diff.gz,conservative,NA,NA,NA
GSE90969,GSE90969_Master_Deseq_EMC3_AT2.xlsx-sheet-Sheet1-set-0,conservative,NA,NA,NA
GSE93314,GSE93314_E10_vs_E11_S_0.085_.txt.gz,conservative,NA,NA,NA
GSE93280,GSE93280_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE76864,GSE76864_gene_exp.diff.gz,conservative,NA,NA,NA
GSE77499,GSE77499_Dd2CQ_Dd2_3D7_gene_exp.diff.gz,conservative,NA,NA,NA
GSE55682,GSE55682_16h.xls.gz,other,NA,NA,NA
GSE71527,GSE71527_WT_SNI_Sal_vs_WT_SNI_DMI.xlsx,conservative,NA,NA,NA
GSE58326,GSE58326_gene_exp.txt.gz,bimodal,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL2_isoform_exp.diff.gz,bimodal,NA,NA,NA
GSE44536,GSE44536_GEO_Processed_file_excel.xlsx.gz-sheet-FPKM_NC_009338,bimodal,NA,NA,NA
GSE115349,GSE115349_PD29_v_PD30.batch3.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE111294,GSE111294_male_gene_exp.diff.gz,conservative,NA,NA,NA
GSE93314,GSE93314_E11_G1_vs_S_0.085_.txt.gz,conservative,NA,NA,NA
GSE84606,GSE84606_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE77499,GSE77499_Dd2CQ_Dd2_3D7_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE55682,GSE55682_20h.xls.gz,other,NA,NA,NA
GSE71527,GSE71527_WT_naive_vs_KO_naive.xlsx,conservative,NA,NA,NA
GSE63810,GSE63810_BCKO_RNASeq_Data.xlsx-sheet-GenesDiffExp,conservative,NA,NA,NA
GSE115349,GSE115349_PD29_v_PD31.batch3.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE99490,GSE99490_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE87855,GSE87855_gene_exp.diff.gz,conservative,NA,NA,NA
GSE67745,GSE67745_Eutrema_salsugineum_SH_YK.xlsx,conservative,NA,NA,NA
GSE93314,GSE93314_E11_S_vs_G1_0.085_.txt.gz,conservative,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz-set-0,other,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz-set-1,other,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz-set-2,other,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz-set-3,other,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz-set-4,other,NA,NA,NA
GSE55682,GSE55682_24h.xls.gz,other,NA,NA,NA
GSE71527,GSE71527_WT_naive_vs_WT_SNI_Sal.xlsx,conservative,NA,NA,NA
GSE61238,GSE61238_gene_exp.diff.gz,conservative,NA,NA,NA
GSE41908,GSE41908_E11.5_E13.5f_cuffdiff1.2.txt.gz,conservative,NA,NA,NA
GSE34097,GSE34097_aff2_genes_cufflinks.txt.gz,conservative,NA,NA,NA
GSE115349,GSE115349_PD30_v_PD31.batch3.novel.gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE118994,GSE118994_DESeq2_delta-espL_vs_wt.csv.gz,other,NA,other,NA
GSE93990,GSE93990_gene_exp.diff.gz,conservative,NA,NA,NA
GSE108836,GSE108836_gene_expSC_DC.txt.gz,conservative,NA,NA,NA
GSE98219,GSE98219_PAS_seq_all_gene_expression.xlsx-sheet-all_gene_list,bimodal,NA,NA,NA
GSE84933,GSE84933_gene_exp.diff.gz,conservative,NA,NA,NA
GSE79408,GSE79408_gene_exp.diff.gz,conservative,NA,NA,NA
GSE54641,GSE54641_DESeq.txt.gz,conservative,NA,anti-conservative,0.9816447476172734
GSE83555,GSE83555_WT-KO-mm9-gene_exp.txt.gz,conservative,NA,NA,NA
GSE80301,GSE80301_col_rep1_mom1_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE55682,GSE55682_48h.xls.gz,other,NA,NA,NA
GSE70711,GSE70711_IRF4hi.vs.IRF8hi.gene_exp.diff.gz,conservative,NA,NA,NA
GSE65328,GSE65328_A17_6V.tab.gz,conservative,NA,anti-conservative,0.9181606271290308
GSE57227,GSE57227_PHH_GW_vs_DMSO_RNA_seq_gene_exp.diff.gz,conservative,NA,NA,NA
GSE41908,GSE41908_E11.5_E13.5m_cuffdiff1.2.txt.gz,conservative,NA,NA,NA
GSE34097,GSE34097_aff3_genes_cufflinks.txt.gz,conservative,NA,NA,NA
GSE108836,GSE108836_gene_expSS_DS.txt.gz,conservative,NA,NA,NA
GSE104065,GSE104065_NSCs_E47KOvsWt_DESeq.txt.gz,uniform,NA,other,NA
GSE54641,GSE54641_cuffdiff2_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE80301,GSE80301_col_rep1_nrpe1_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE55682,GSE55682_Baf250a6days.csv.gz,other,NA,NA,NA
GSE70711,GSE70711_IRF8cKO_GCBCell_RPKM_exp_1.csv.gz,conservative,NA,NA,NA
GSE41908,GSE41908_E9.5_E11.5_cuffdiff1.2.txt.gz,conservative,NA,NA,NA
GSE34097,GSE34097_aff4_genes_cufflinks.txt.gz,conservative,NA,NA,NA
GSE108094,GSE108094_gene_exp.diff.gz,conservative,NA,NA,NA
GSE120844,GSE120844_DEG_CTRL_IFNG.txt.gz,conservative,NA,NA,NA
GSE108836,GSE108836_gene_expSS_SC.txt.gz,conservative,NA,NA,NA
GSE86460,GSE86460_EVI1_vs_EVI1GATA2.gene_exp.diff.gz,conservative,NA,NA,NA
GSE84492,GSE84492_Kdm5c_def_mouse_expression_values.txt.gz,spiky,NA,anti-conservative,0.5963668593773376
GSE81123,GSE81123_Poplar_RNAseq_data.ods.txt.gz,conservative,NA,NA,NA
GSE82210,GSE82210_cuffdiff_lncOL1KO_vs_Ctrl.gene.fpkm.txt.gz,conservative,NA,NA,NA
GSE78902,GSE78902_DEseq_DB001-DB004_DB002-DB003_DEG_list.csv.gz,other,NA,other,NA
GSE80301,GSE80301_col_rep1_pial1pial2_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE70711,GSE70711_IRF8cKO_GCBCell_RPKM_exp_2.csv.gz,conservative,NA,NA,NA
GSE59481,GSE59481_PIG_vs_GFP_DE_genes.txt.gz,bimodal,NA,NA,NA
GSE120844,GSE120844_DEG_CTRL_POMALYST.txt.gz,conservative,NA,NA,NA
GSE102546,GSE102546_cuffdiff.gene_exp.diff.gz,conservative,NA,NA,NA
GSE101898,GSE101898_Galaxy123-_CellXtype_QKO_vs_QT7L1_.tabular.txt.gz,spiky,NA,anti-conservative,0.41749285188694146
GSE92874,GSE92874_RNA.txt.gz,bimodal,NA,NA,NA
GSE77769,GSE77769_RNA_diff_final.txt.gz,spiky,NA,NA,NA
GSE91075,GSE91075_gene_exp_WT1_KO1.txt.gz,conservative,NA,NA,NA
GSE81007,GSE81007_cds.diff.gz,conservative,NA,NA,NA
GSE72764,GSE72764_DEseq_LS39-LS40-LS42_LS44-LS45-LS48_DEG_list.csv.gz,conservative,NA,other,NA
GSE80301,GSE80301_col_rep2_mom1_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE67063,GSE67063_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE72560,GSE72560_Enteric_Glia.txt.gz,conservative,NA,NA,NA
GSE69113,GSE69113_AIPVUIP_differential_expression.txt.gz,other,NA,NA,NA
GSE59020,GSE59020_ETS1_gene_exp_all.diff.gz,conservative,NA,NA,NA
GSE47095,GSE47095_splicing_diff.txt.gz,bimodal,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-0,bimodal,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-1,spiky,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-2,spiky,NA,NA,NA
GSE120844,GSE120844_DEG_CTRL_POMIFNG.txt.gz,conservative,NA,NA,NA
GSE60538,GSE60538_CuffDiff-Data_Coding.txt.gz,conservative,NA,NA,NA
GSE113648,GSE113648_RNAseq_HGPS_cell_lines_vs_control.xlsx,conservative,NA,NA,NA
GSE98885,GSE98885_wlp2s_VS_WT_differential_expression.xlsx,conservative,NA,NA,NA
GSE92971,GSE92971_run1513_gencode_DESeq2_earlyFGFvsControl_gene_diff_rawcnt.txt.gz,other,NA,uniform,NA
GSE101898,GSE101898_Galaxy124-_CellXtype_QT7_vs_QT7L1_.tabular.txt.gz,uniform,NA,anti-conservative,0.8864336695894459
GSE91075,GSE91075_gene_exp_WT2_KO2.txt.gz,conservative,NA,NA,NA
GSE77185,GSE77185_gene_exp.diff.gz,conservative,NA,NA,NA
GSE72762,GSE72762_DEseq_LS023-LS024-LS025_LS030-LS031-LS032_DEG_list.txt.gz,conservative,NA,other,NA
GSE80301,GSE80301_col_rep2_mom1pial2_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE69113,GSE69113_BIPVUIP_differential_expression.txt.gz,other,NA,NA,NA
GSE59020,GSE59020_U0126_gene_exp_all.diff.gz,conservative,NA,NA,NA
GSE49843,GSE49843_gene_exp.diff_22345-22353.txt.gz,conservative,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-0,spiky,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-1,spiky,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-2,spiky,NA,NA,NA
GSE43614,GSE43614_diff_out.txt.gz,other,NA,NA,NA
GSE120844,GSE120844_DEG_IFNG_POMIFNG.txt.gz,conservative,NA,NA,NA
GSE102780,GSE102780_SmallRNA.CD95L.50hrs.HeyA8.xlsx,conservative,NA,NA,NA
GSE114987,GSE114987_gene.txt.gz,conservative,NA,NA,NA
GSE60538,GSE60538_CuffDiff-Data_Gene.txt.gz,conservative,NA,NA,NA
GSE116499,GSE116499_Control_NB4_vs_JMJD3_NB4.diff.exp.annot.txt.gz,conservative,NA,NA,NA
GSE104422,GSE104422_C_OA_Cuffdiff.txt.gz,conservative,NA,NA,NA
GSE101898,GSE101898_Galaxy125-_CellXtype_WT_vs_QKO_.tabular.txt.gz,spiky,NA,anti-conservative,0.4483478378617402
GSE73972,GSE73972_atxvsWT_gene_exp_diff.txt.gz,bimodal,NA,NA,NA
GSE98387,GSE98387_gene_exp.txt.gz,other,NA,other,NA
GSE81007,GSE81007_cds_exp.diff.gz,conservative,NA,NA,NA
GSE72761,GSE72761_DESeq_LS007-LS008-LS010_LS015-LS016-LS018_DEG_list.txt.gz,conservative,NA,other,NA
GSE80301,GSE80301_col_rep2_pial2_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE66575,GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.gene_exp,conservative,NA,NA,NA
GSE66575,GSE66575_RNAseq_genes_expression.xlsx-sheet-control_vs_comparison.isoform_e,conservative,NA,NA,NA
GSE61202,GSE61202_NICvsMOdifferential_expression.txt.gz,conservative,NA,NA,NA
GSE58464,GSE58464_RNA-seq_tophat_microrazers_results.txt.gz-set-0,conservative,NA,NA,NA
GSE58464,GSE58464_RNA-seq_tophat_microrazers_results.txt.gz-set-1,conservative,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-0,spiky,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-1,spiky,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-2,bimodal,NA,NA,NA
GSE120844,GSE120844_DEG_POMALYST_POMIFNG.txt.gz,conservative,NA,NA,NA
GSE102779,GSE102779_SmallRNA_CD95L.50hrs.Drosha_ko.xlsx,uniform,NA,NA,NA
GSE118592,GSE118592_day10_results.txt.gz,conservative,NA,NA,NA
GSE103207,GSE103207_ALV_J36h_vs_NC36h.Differential_analysis_results.xlsx-sheet-Sheet1,conservative,NA,NA,NA
GSE101898,GSE101898_Galaxy126-_CellXtype_WT_vs_QT7_.tabular.txt.gz,spiky,NA,anti-conservative,0.7906440496551999
GSE93620,GSE93620_gene_exp.diff.gz,conservative,NA,NA,NA
GSE81007,GSE81007_gene_exp.diff.gz,conservative,NA,NA,NA
GSE85576,GSE85576_Supplementary_Table_1.xlsx-sheet-MagohMos2_vs_Control,conservative,NA,NA,NA
GSE80433,GSE80433_gene_exp.diff.gz,conservative,NA,NA,NA
GSE65406,GSE65406_control_vs_gld1_DESeq.csv.gz,conservative,NA,anti-conservative,0.9980807558488437
GSE67674,GSE67674_RNA-seq_analysis_AADMSOvsAAGSK-J4.txt.gz,bimodal,NA,NA,NA
GSE63750,GSE63750_chemhigh-batch-result-using-R-DeSeq.csv.gz,bimodal,NA,other,NA
GSE53976,GSE53976_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_fullSet,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_400M,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_300M,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_200M,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_150M,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_100M,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_75M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_50M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_25M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_20M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_15M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_10M,conservative,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp.xls.gz-sheet-adipose_5M,conservative,NA,NA,NA
GSE36005,GSE36005_emo_gene.diff.gz,conservative,NA,NA,NA
GSE97469,GSE97469_HEPG2_EV_versus_shRNA.csv.gz,spiky,NA,anti-conservative,0.6696864234142684
GSE118592,GSE118592_day5_results.txt.gz,other,NA,NA,NA
GSE60538,GSE60538_CuffDiff-Data_Isoform.txt.gz,conservative,NA,NA,NA
GSE99522,GSE99522_cds.diff.gz,conservative,NA,NA,NA
GSE110334,GSE110334_NSMRep1_gene_exp.diff.gz,conservative,NA,NA,NA
GSE102531,GSE102531_DE2output-280116.xlsx.gz-set-0,spiky,NA,anti-conservative,0.6515252018075927
GSE102531,GSE102531_DE2output-280116.xlsx.gz-set-1,bimodal,NA,anti-conservative,0.6705009909439311
GSE93287,GSE93287_cuffdiff_gene_exp.diff.xlsx-sheet-cuffdiff gene_exp.diff,conservative,NA,NA,NA
GSE86867,GSE86867_WT_quiescent_456_vs_WT_dividing_123.txt.gz,conservative,NA,NA,NA
GSE103207,GSE103207_ALV_J3h_vs_NC3h.Differential_analysis_results.xlsx-sheet-Sheet1,conservative,NA,NA,NA
GSE101898,GSE101898_Galaxy127-_CellXtype_WT_vs_QT7L1_.tabular.txt.gz,bimodal,NA,anti-conservative,0.8235245333876692
GSE79507,GSE79507_minipig.txt.gz,bimodal,NA,NA,NA
GSE66158,GSE66158_all_genes_FPKM.txt.gz,bimodal,NA,NA,NA
GSE65406,GSE65406_gld1_vs_tumorfast_DESeq.csv.gz,conservative,NA,other,NA
GSE63750,GSE63750_chemlow-batch-result-using-R-DeSeq.csv.gz,other,NA,other,NA
GSE56284,GSE56284_gene_exp.txt.gz,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round1,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round2,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round3,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round4,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round5,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round6,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round7,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round8,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round9,bimodal,NA,NA,NA
GSE46323,GSE46323_A_adipose_gene_exp_simluation_100M.xls.gz-sheet-adipose_100M_round10,bimodal,NA,NA,NA
GSE36005,GSE36005_res_gene.diff.gz,conservative,NA,NA,NA
